date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
1/17/2018|98.03|03:22:02|229|0|0|0|0||160|1941|29.1|59|0|0|0|0|0|0|2,165||03:25:48||https://www.strava.com/activities/1361471250
1/11/2018|146.2|05:09:51|3503|0|0|0|0||215|3993|28.3|77.4|0|0|0|0|0|0|4,452||05:13:02||https://www.strava.com/activities/1351706254
1/9/2018|154.37|05:32:13|3602|0|0|0|0||205|4088|27.9|67.3|0|0|0|0|0|0|4,558||06:01:57||https://www.strava.com/activities/1348509467
1/5/2018|144.01|04:52:11|3283|0|0|0|0||215|3777|29.6|70.2|0|0|0|0|0|0|4,211||05:10:21||https://www.strava.com/activities/1341977901
1/4/2018|106.32|03:23:08|2281|0|0|0|0||239|2909|31.4|74.5|0|0|0|0|0|0|3,243||03:27:13||https://www.strava.com/activities/1340358652
2/16/2018|105.79|03:23:38|248|0|0|0|0||166|2027|31.2|53.3|0|0|0|0|0|0|2,261||03:26:31||https://www.strava.com/activities/1410022955
2/14/2018|148.37|04:52:50|487|0|0|0|0||163|2873|30.4|52.2|0|0|0|0|0|0|3,203||04:58:16||https://www.strava.com/activities/1407144884
3/31/2018|136.97|04:42:05|3186|0|0|0|0||219|3715|29.1|75.2|0|0|0|0|0|0|4,142||04:54:09||https://www.strava.com/activities/1481467317
3/28/2018|140.42|04:16:30|282|0|0|0|0||186|2870|32.8|53.3|0|0|0|0|0|0|3,200||04:17:55||https://www.strava.com/activities/1476019907
3/25/2018|150.54|04:40:19|500|0|0|0|0||0|0|32.2|47.9|0|0|0|0|0|0|3,372||04:43:52||https://www.strava.com/activities/1470964816
3/24/2018|110.85|03:12:31|330|0|0|0|0||0|0|34.5|59|0|0|0|0|0|0|2,885||03:22:54||https://www.strava.com/activities/1469013898
3/18/2018|129.79|05:22:31|4375|0|0|0|0||206|3990|24.1|74.5|0|0|0|0|0|0|4,449||05:43:12||https://www.strava.com/activities/1459124509
3/14/2018|145.76|05:40:18|3939|0|0|0|0||0|0|25.7|76.7|0|0|0|0|0|0|4,486||06:24:57||https://www.strava.com/activities/1452732947
3/13/2018|91.06|03:50:17|3195|0|0|0|0||221|3048|23.7|90.7|0|0|0|0|0|0|3,398||04:35:13||https://www.strava.com/activities/1450933571
3/21/2018|102.81|03:25:21|235|0|0|0|0||0|0|30|49.3|0|0|0|0|0|0|2,157||04:28:31||https://www.strava.com/activities/1464090645
4/30/2018|156.57|04:39:05|2107|0|0|0|0||0|0|33.7|79.6|0|0|0|0|0|0|4,962||04:53:47||https://www.strava.com/activities/1540803239
4/15/2018|145.48|04:13:44|401|0|0|0|0||0|0|34.4|54.4|0|0|0|0|0|0|3,926||04:31:30||https://www.strava.com/activities/1510183464
4/3/2018|155.92|04:46:52|366|0|0|0|0||0|0|32.6|57.2|0|0|0|0|0|0|3,641||04:53:00||https://www.strava.com/activities/1487160917
4/2/2018|108.64|03:17:20|344|0|0|0|0||0|0|33|54.7|0|0|0|0|0|0|2,564||03:20:45||https://www.strava.com/activities/1485381713
4/14/2018|71.07|01:48:45|182|0|0|0|0||0|0|39.2|70.2|0|0|0|0|0|0|2,254||01:48:47||https://www.strava.com/activities/1507769018
5/31/2018|102.08|03:16:51|2755|0|0|0|0||226|2672|31.1|114.1|0|0|0|0|0|0|2,979||03:49:05||https://www.strava.com/activities/1607657833
5/30/2018|94.54|03:12:47|2374|0|0|0|0||0|0|29.4|105.1|0|0|0|0|0|0|3,093||03:42:08||https://www.strava.com/activities/1605586800
5/27/2018|130.82|04:04:27|294|0|0|0|0||0|0|32.1|54|0|0|0|0|0|0|2,949||04:06:18||https://www.strava.com/activities/1599153484
5/26/2018|175.56|05:02:22|446|0|0|0|0||0|0|34.8|58.3|0|0|0|0|0|0|4,558||05:11:28||https://www.strava.com/activities/1597219853
5/6/2018|146.06|04:10:14|385|0|0|0|0||0|0|35|56.5|0|0|0|0|0|0|3,887||04:31:21||https://www.strava.com/activities/1553877677
5/5/2018|74.83|02:03:27|194|0|0|0|0||0|0|36.4|57.6|0|0|0|0|0|0|2,118||02:08:41||https://www.strava.com/activities/1551015793
5/1/2018|142.61|05:22:17|4423|0|0|0|0||0|0|26.6|66.2|0|0|0|0|0|0|4,601||05:36:56||https://www.strava.com/activities/1543102403
6/30/2018|70.67|03:05:33|3067|0|0|0|0||0|0|22.9|68.4|0|0|0|0|0|0|2,854||03:15:48||https://www.strava.com/activities/1671597748
6/27/2018|134.49|06:14:07|4700|0|0|0|0||188|4231|21.6|76|0|0|0|0|0|0|4,717|17|06:58:15|Garmin Edge 1030|https://www.strava.com/activities/1667488709
6/10/2018|101.72|03:04:37|212|0|0|0|0||188|2085|33.1|51.1|0|0|0|0|0|0|2,325||03:06:07||https://www.strava.com/activities/1629118277
6/3/2018|166.41|05:58:14|4187|0|0|0|0||230|4947|27.9|82.1|0|0|0|0|0|0|5,516|15|06:51:22|Garmin Edge 1030|https://www.strava.com/activities/1621034713
7/27/2018|49.17|01:27:27|113|0|0|0|0||0|0|33.7|46.1|0|0|0|0|0|0|1,137||02:03:36||https://www.strava.com/activities/1731720403
7/4/2018|123.13|04:00:44|4119|0|0|0|0||0|0|30.7|73.8|0|0|0|0|0|0|3,670||04:14:56||https://www.strava.com/activities/1679947051
7/1/2018|125.54|05:17:18|4292|0|0|0|0||0|0|23.7|76|0|0|0|0|0|0|4,590||05:35:48||https://www.strava.com/activities/1674292188
8/12/2018|151.59|04:27:56|421|0|0|0|0||0|0|33.9|56.2|0|0|0|0|0|0|3,757||04:41:01||https://www.strava.com/activities/1767050552
8/7/2018|157.07|05:06:56|4077|0|0|0|0||0|0|30.7|88.2|0|0|0|0|0|0|5,265||05:19:11||https://www.strava.com/activities/1756033254
8/11/2018|76.28|02:01:46|197|0|0|0|0||0|0|37.6|59|0|0|0|0|0|0|2,285||02:02:44||https://www.strava.com/activities/1764707769
