date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
29.01.2019|22,08|00:48:44|133|0|0|0|0||148|432|272|569|0|0|110|157|0|0|482|16|15:29:13|Pioneer|https://www.strava.com/activities/2112966589
29.01.2019|91,01|03:20:51|1,78|0|244|2,491|156|68%|0|0|272|727|80|126|136|194|207|984|2,778|13|03:24:17|Pioneer|https://www.strava.com/activities/2110889308
28.01.2019|168,87|06:01:25|3,246|0|0|0|0||206|4,467|280|907|0|0|141|185|0|0|4,981|11|06:47:47|Pioneer|https://www.strava.com/activities/2108972455
20.01.2019|197,03|05:47:10|2,607|0|244|4,401|278|68%|0|0|341|749|88|132|143|181|211|906|4,907|10|06:14:06|Pioneer|https://www.strava.com/activities/2091716697
19.01.2019|128,57|04:12:05|2,284|0|244|2,964|204|68%|0|0|306|850|82|113|137|218|196|968|3,305|10|04:37:58|Pioneer|https://www.strava.com/activities/2089287834
18.01.2019|129,69|04:07:43|1,93|0|245|2,786|201|68%|0|0|314|792|85|117|138|203|187|865|3,107|14|04:36:40|Pioneer|https://www.strava.com/activities/2086734916
16.01.2019|146,21|04:17:06|1,178|0|214|2,64|160|60%|0|0|341|626|83|124|134|240|171|1,347|2,943|10|04:45:58|Pioneer|https://www.strava.com/activities/2082499448
14.01.2019|157,44|05:16:09|2,624|0|229|3,588|227|64%|0|0|299|720|84|117|142|186|189|1,224|4,001|9|05:40:33|Pioneer|https://www.strava.com/activities/2078023081
13.01.2019|145,51|04:35:04|1,8|0|232|2,938|205|65%|0|0|317|756|85|139|140|202|178|1,25|3,276|8|05:05:56|Pioneer|https://www.strava.com/activities/2075592695
11.01.2019|160,84|04:53:14|1,835|0|223|3,202|199|62%|0|0|329|806|85|130|139|196|182|1,286|3,570|9|05:14:20|Pioneer|https://www.strava.com/activities/2071065149
09.01.2019|33,46|01:00:33|255|0|199|619|31|55%|0|0|332|576|85|105|123|162|171|595|691|9|01:02:20|Pioneer|https://www.strava.com/activities/2066754594
06.01.2019|101,69|03:13:40|86|0|193|2,104|100|54%|0|0|315|468|84|103|139|185|181|908|2,346|4|03:39:43|Pioneer|https://www.strava.com/activities/2059536893
23.02.2019|7,25|00:20:42|468|0|384|485|39|107%|0|0|210|540|87|101|195|201|390|746|540|1|00:21:12|Pioneer|https://www.strava.com/activities/2169715931
28.02.2019|99,37|03:07:19|192|0|213|2,201|112|59%|0|0|318|673|83|115|138|191|196|1,173|2,454|9|03:14:26|Pioneer|https://www.strava.com/activities/2181482269
24.02.2019|85,99|02:52:40|1,757|0|305|2,56|210|85%|0|0|299|749|85|120|155|197|247|1,057|2,855|3|02:55:23|Pioneer|https://www.strava.com/activities/2172134140
22.02.2019|135,49|03:40:29|718|0|241|2,418|171|67%|0|0|369|734|86|119|127|200|183|1,329|2,696|16|05:55:18|Pioneer|https://www.strava.com/activities/2167248205
21.02.2019|30,35|00:58:10|174|0|189|491|30|53%|0|0|313|742|82|111|0|0|141|1,119|548|18|02:29:18|Pioneer|https://www.strava.com/activities/2164509336
20.02.2019|63,94|01:55:24|377|0|189|1,048|55|53%|0|0|332|626|81|109|0|0|151|1,054|1,169|15|02:01:33|Pioneer|https://www.strava.com/activities/2162015893
19.02.2019|155,87|04:57:40|2,192|0|223|3,232|199|62%|0|0|314|821|80|121|122|208|181|1,177|3,604|16|05:17:37|Pioneer|https://www.strava.com/activities/2160067428
18.02.2019|150,51|04:29:20|1,827|0|239|3,038|205|67%|0|0|335|799|81|114|132|196|188|1,262|3,387|17|04:53:25|Pioneer|https://www.strava.com/activities/2157762161
17.02.2019|28,31|01:07:50|499|0|183|590|31|51%|0|0|250|763|78|129|113|182|145|726|658|14|02:15:47|Pioneer|https://www.strava.com/activities/2155182234
14.02.2019|105,7|03:01:49|808|0|0|0|0||259|2,825|349|655|0|0|130|176|0|0|3,150|10|08:11:53|Pioneer|https://www.strava.com/activities/2148854207
13.02.2019|30,47|00:58:49|190|0|0|0|0||199|701|311|626|0|0|130|153|0|0|782|4|00:59:50|Pioneer|https://www.strava.com/activities/2142875417
10.02.2019|98,15|03:03:28|534|0|245|2,262|150|68%|0|0|321|641|82|116|133|193|205|519|2,522|16|04:48:13|Pioneer|https://www.strava.com/activities/2137993025
09.02.2019|154,91|04:56:46|1,788|0|219|3,45|197|61%|0|0|313|734|83|128|135|221|194|1,178|3,846|12|05:55:57|Pioneer|https://www.strava.com/activities/2135680396
08.02.2019|107,39|03:59:12|1,995|0|241|2,814|185|67%|0|0|269|792|80|116|140|199|196|966|3,137|9|04:08:46|Pioneer|https://www.strava.com/activities/2132075093
06.02.2019|50,01|01:57:17|770|0|0|0|0||176|1,237|256|605|0|0|132|170|0|0|1,379|7|02:28:46|Pioneer|https://www.strava.com/activities/2127744113
03.02.2019|99,98|03:55:21|2,139|0|237|2,72|181|66%|0|0|255|749|76|116|134|182|193|1,131|3,033|15|05:16:35|Pioneer|https://www.strava.com/activities/2121495242
31.03.2019|162,12|03:59:19|946|0|160|428|52|45%|0|0|406|799|90|128|157|196|30|1,028|478|13|04:03:09|Pioneer|https://www.strava.com/activities/2256778652
30.03.2019|65,92|02:04:52|635|0|202|1,135|66|56%|0|0|317|648|78|112|125|225|152|1,207|1,266|18|02:42:12|Pioneer|https://www.strava.com/activities/2252332500
28.03.2019|162,35|05:10:37|130|0|224|3,891|209|62%|0|0|314|547|82|104|130|240|209|691|4,338|8|05:44:50|Pioneer|https://www.strava.com/activities/2247373256
27.03.2019|52,23|01:41:25|27|0|0|0|0||185|1,128|309|518|0|0|0|0|0|0|1,257|10|01:49:02|Pioneer|https://www.strava.com/activities/2244270233
23.03.2019|110,24|03:14:45|133|0|200|2,335|109|56%|0|0|340|760|82|120|130|182|200|1,191|2,603|9|09:07:50|Pioneer|https://www.strava.com/activities/2235317544
20.03.2019|48,76|01:29:06|30|0|0|0|0||215|1,149|328|522|0|0|139|168|0|0|1,281|14|05:15:51|Pioneer|https://www.strava.com/activities/2228020378
19.03.2019|57,52|02:04:26|189|0|181|1,306|55|50%|0|0|277|659|77|100|123|153|175|1,075|1,456|12|02:34:07|Pioneer|https://www.strava.com/activities/2224357210
15.03.2019|1,59|00:19:33|6|0|196|185|49|55%|0|0|49|396|75|103|127|182|158|821|206|17|01:43:05|Pioneer|https://www.strava.com/activities/2214561545
06.03.2019|6,08|00:25:50|11|0|232|220|72|65%|0|0|141|475|86|113|128|197|142|621|245|17|01:52:40|Pioneer|https://www.strava.com/activities/2195869264
05.03.2019|25,07|00:58:10|85|0|0|0|0||122|427|259|468|0|0|127|151|0|0|476|7|23:20:20|Pioneer|https://www.strava.com/activities/2195870015
05.03.2019|37,56|01:17:01|119|0|0|0|0||172|796|293|749|0|0|129|150|0|0|887|8|01:21:13|Pioneer|https://www.strava.com/activities/2192378693
31.03.2019|81,91|02:01:13|360|0|232|1,6|86|65%|0|0|405|785|94|119|159|193|220|985|1,784|10|02:03:24|Pioneer|https://www.strava.com/activities/2369057732
29.03.2019|138,07|04:11:01|1,476|0|252|3,32|219|70%|0|0|330|727|83|127|142|179|220|1,09|3,702|7|04:27:56|Pioneer|https://www.strava.com/activities/2369059986
29.03.2019|42,32|01:24:30|123|0|0|0|0||174|885|301|540|0|0|118|190|0|0|986|19|01:28:06|Pioneer|https://www.strava.com/activities/2249372952
27.03.2019|79,24|01:52:10|159|0|241|1,571|84|67%|0|0|424|626|93|115|145|169|233|944|1,752|7|01:52:33|Pioneer|https://www.strava.com/activities/2369059476
25.03.2019|60,61|02:02:10|82|0|0|0|0||171|1,254|298|547|0|0|112|153|0|0|1,398|7|02:12:15|Pioneer|https://www.strava.com/activities/2241191875
22.03.2019|168,67|03:49:19|427|0|230|2,623|156|64%|0|0|441|857|88|130|145|198|191|1,118|2,925|13|03:49:19|Pioneer|https://www.strava.com/activities/2233208805
18.03.2019|39,36|01:25:39|115|0|180|838|41|50%|0|0|276|540|77|97|120|152|163|556|934|8|02:05:14|Pioneer|https://www.strava.com/activities/2222957523
17.03.2019|216,5|05:28:55|274|0|247|4,422|260|69%|0|0|395|756|90|122|164|195|224|1,17|4,931|5|05:29:55|Pioneer|https://www.strava.com/activities/2221710656
10.03.2019|54,57|01:18:46|28|0|263|1,141|71|73%|0|0|416|698|93|120|0|0|241|1,105|1,272|7|02:02:20|Pioneer|https://www.strava.com/activities/2204248414
09.03.2019|153,76|03:23:10|211|0|254|2,397|162|71%|0|0|454|936|93|126|157|197|197|1,086|2,673|7|03:42:47|Pioneer|https://www.strava.com/activities/2201969957
03.03.2019|134,5|03:19:43|749|0|243|2,658|155|68%|0|0|404|727|89|118|165|189|222|1,079|2,964|9|04:10:49|Pioneer|https://www.strava.com/activities/2189295297
23.04.2019|68,67|02:04:06|34|0|0|0|0||204|1,515|332|562|0|0|129|153|0|0|1,690|15|02:07:27|Pioneer|https://www.strava.com/activities/2311972945
03.04.2019|65,51|01:59:06|37|0|0|0|0||204|1,457|330|547|0|0|143|185|0|0|1,624|5|02:03:43|Pioneer|https://www.strava.com/activities/2261687706
02.04.2019|31,76|01:02:54|100|0|0|0|0||184|695|303|511|0|0|119|144|0|0|775|13|01:10:18|Pioneer|https://www.strava.com/activities/2259685100
19.04.2019|26,19|00:52:40|335|0|236|625|40|66%|0|0|298|662|81|114|133|181|198|1,016|697|21|02:11:33|Pioneer|https://www.strava.com/activities/2301413348
18.04.2019|86,78|02:57:48|1,445|0|219|1,997|113|61%|0|0|293|734|81|110|133|167|187|737|2,226|22|03:05:20|Pioneer|https://www.strava.com/activities/2299599629
15.04.2019|37,15|01:14:01|61|0|0|0|0||172|764|301|533|0|0|121|139|0|0|852|10|02:16:14|Pioneer|https://www.strava.com/activities/2291398894
12.04.2019|188,7|04:58:49|2,354|0|230|3,253|206|64%|0|0|379|857|85|121|143|199|181|1,078|3,628|12|05:03:19|Pioneer|https://www.strava.com/activities/2284927266
10.04.2019|78,89|02:36:36|120|0|180|1,576|68|50%|0|0|302|562|80|105|132|161|168|774|1,757|9|03:55:52|Pioneer|https://www.strava.com/activities/2279295277
08.04.2019|48,19|01:38:30|117|0|0|0|0||169|1|294|540|0|0|116|145|0|0|1,115|21|01:44:24|Pioneer|https://www.strava.com/activities/2274534143
08.04.2019|31,05|01:05:02|13|0|175|665|29|49%|0|0|287|490|82|99|105|127|170|460|741|12|01:47:46|Pioneer|https://www.strava.com/activities/2369056807
05.04.2019|152,65|03:49:29|898|0|216|2,546|141|60%|0|0|399|677|88|132|146|191|185|1,126|2,839|14|04:18:01|Pioneer|https://www.strava.com/activities/2267099135
19.05.2019|143,69|04:41:11|1,893|0|230|3,08|206|64%|0|0|307|706|83|142|135|187|183|913|3,434|13|06:10:36|Pioneer|https://www.strava.com/activities/2380893328
18.05.2019|111,44|03:44:05|1,685|0|255|2,741|198|71%|0|0|298|634|82|115|149|196|204|1,209|3,056|10|04:32:40|Pioneer|https://www.strava.com/activities/2377171947
15.05.2019|103,66|03:26:51|1,596|0|223|2,213|143|62%|0|0|301|734|81|118|139|198|178|1,245|2,467|23|22:28:09|Pioneer|https://www.strava.com/activities/2372210131
