date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
1/27/2018|46.64|01:44:22|807|0|0|0|0||0|0|26.8|51.1|0|0|0|0|0|0|||01:55:42||https://www.strava.com/activities/1377507941
1/22/2018|75.58|02:12:35|655|0|0|0|0||0|0|34.2|77.8|83|121|0|0|0|0||15|03:57:51|SRM PC8|https://www.strava.com/activities/1369802867
1/21/2018|27.03|01:51:42|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|||00:00:00|Polar V800|https://www.strava.com/activities/1367932103
1/20/2018|23.83|01:34:06|880|0|0|0|0||0|0|15.2|49.7|0|0|0|0|0|0|||01:38:19||https://www.strava.com/activities/1365986423
1/8/2018|123.7|04:23:58|2150|0|0|0|0||0|0|28.1|60.5|79|117|0|0|0|0||9|04:35:21|SRM PC8|https://www.strava.com/activities/1347019587
1/3/2018|156.5|05:32:48|2784|0|0|0|0||0|0|28.2|77|80|111|0|0|0|0||17|05:45:59|SRM PC8|https://www.strava.com/activities/1338958652
1/2/2018|54.86|02:01:12|1525|0|0|0|0||0|0|27.2|78.5|77|117|0|0|0|0||6|02:03:01|SRM PC8|https://www.strava.com/activities/1337313704
1/28/2018|144.41|03:46:56|2576|0|0|0|0||0|0|38.2|104.4|89|129|0|0|0|0||16|03:48:15|SRM PC8|https://www.strava.com/activities/1380037867
1/26/2018|114.63|03:32:09|406|0|0|0|0||0|0|32.4|54.7|0|0|0|0|0|0||8|03:48:43|SRM PC8|https://www.strava.com/activities/1376271773
1/24/2018|169.37|05:30:00|3110|0|0|0|0||0|0|30.8|75.6|84|123|0|0|0|0||14|05:46:27|SRM PC8|https://www.strava.com/activities/1373034158
1/18/2018|213.03|06:42:34|3563|0|0|0|0||0|0|31.8|76.3|82|119|0|0|0|0||15|06:52:35|SRM PC8|https://www.strava.com/activities/1363330408
1/17/2018|140|04:06:56|1659|0|0|0|0||0|0|34|89.3|85|127|0|0|0|0||21|04:14:40|SRM PC8|https://www.strava.com/activities/1361575575
1/16/2018|176.06|04:53:27|2179|0|0|0|0||0|0|36|82.8|85|192|0|0|0|0||19|05:35:54|SRM PC8|https://www.strava.com/activities/1360060931
1/15/2018|153.8|04:52:18|2853|0|0|0|0||0|0|31.6|87.8|82|120|0|0|0|0||11|05:07:36|SRM PC8|https://www.strava.com/activities/1358425303
1/13/2018|205.25|06:22:48|3726|0|0|0|0||0|0|32.2|89.3|82|127|0|0|0|0||10|06:32:44|SRM PC8|https://www.strava.com/activities/1355227676
1/12/2018|177.88|05:02:07|1981|0|0|0|0||0|0|35.3|82.1|87|154|0|0|0|0||16|05:26:54|SRM PC8|https://www.strava.com/activities/1353415956
1/11/2018|139.02|03:55:06|1522|0|0|0|0||0|0|35.5|74.5|0|0|0|0|0|0|||04:11:24||https://www.strava.com/activities/1351627073
1/10/2018|123.34|03:56:45|2051|0|0|0|0||0|0|31.3|72|84|119|0|0|0|0||15|04:04:41|SRM PC8|https://www.strava.com/activities/1350459005
1/5/2018|168.85|06:10:45|3094|0|0|0|0||0|0|27.3|71.3|79|129|0|0|0|0||14|06:40:30|SRM PC8|https://www.strava.com/activities/1342285884
2/27/2018|57.74|02:02:35|1277|0|0|0|0||0|0|28.3|67.7|81|136|0|0|0|0||13|02:03:35|SRM PC8|https://www.strava.com/activities/1428419493
2/23/2018|62.09|01:51:18|731|0|0|0|0||0|0|33.5|72.7|81|110|0|0|0|0||3|01:56:10|SRM PC8|https://www.strava.com/activities/1421788920
2/22/2018|93.29|03:09:56|2219|0|0|0|0||0|0|29.5|77|81|174|0|0|0|0||9|03:43:46|SRM PC8|https://www.strava.com/activities/1420300123
2/19/2018|124.13|03:42:59|2081|0|0|0|0||0|0|33.4|67.7|86|137|0|0|0|0||8|03:56:14|SRM PC8|https://www.strava.com/activities/1415681995
2/9/2018|176.32|06:23:11|4002|0|0|0|0||0|0|27.6|78.5|83|124|0|0|0|0||10|07:12:04|SRM PC8|https://www.strava.com/activities/1399276701
