date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
30.01.2018|98.03|03:37:49|512|0|0|0|0||0|0|27|44.6|78|102|0|0|0|0|2,510|2|03:47:07|Garmin Edge 520|https://www.strava.com/activities/1382670261
30.01.2018|97.58|03:36:17|569|0|179|2188|0||0|0|27.1|45.4|74|107|153|184|169|595|2,440|3|03:45:28|Garmin Edge 510|https://www.strava.com/activities/1386263606
27.01.2018|188.32|06:28:03|2699|0|0|0|0||0|0|29.1|64.1|78|109|0|0|0|0|5,128|9|06:48:19|Garmin Edge 520|https://www.strava.com/activities/1377867673
26.01.2018|150.01|05:06:33|2323|0|0|0|0||0|0|29.4|70.2|77|116|0|0|0|0|4,206|9|05:23:07|Garmin Edge 520|https://www.strava.com/activities/1376088992
25.01.2018|180.06|06:11:43|2760|0|0|0|0||0|0|29.1|60.8|80|128|0|0|0|0|4,871|11|06:26:50|Garmin Edge 520|https://www.strava.com/activities/1374646048
24.01.2018|35.7|01:16:48|323|0|0|0|0||0|0|27.9|52.6|75|101|0|0|0|0|677|14|02:34:40|Garmin Edge 520|https://www.strava.com/activities/1372822463
23.01.2018|166.86|05:45:14|2871|0|0|0|0||0|0|29|74.2|75|128|0|0|0|0|4,585|15|06:10:09|Garmin Edge 520|https://www.strava.com/activities/1371323787
23.01.2018|169.95|05:50:15|2892|0|0|0|0||0|0|29.1|71.3|81|139|130|166|0|0|4,749|15|06:10:19|Garmin Edge 520|https://www.strava.com/activities/1406492804
22.01.2018|132.25|04:31:11|2172|0|0|0|0||0|0|29.3|60.8|77|112|0|0|0|0|3,556|19|05:06:49|Garmin Edge 520|https://www.strava.com/activities/1369672815
22.01.2018|123.54|04:14:53|2043|0|0|0|0||0|0|29.1|61.9|79|119|0|0|0|0|3,131|19|05:07:11|Garmin Edge 520|https://www.strava.com/activities/1406492544
21.01.2018|140.55|05:00:42|2297|0|0|0|0||0|0|28|61.2|78|123|0|0|0|0|3,943|18|05:10:02|Garmin Edge 520|https://www.strava.com/activities/1368142563
21.01.2018|115.99|04:02:24|1892|0|0|0|0||0|0|28.7|67.7|83|143|136|177|0|0|3,446|18|04:15:20|Garmin Edge 520|https://www.strava.com/activities/1406492625
20.01.2018|34.57|01:20:18|320|0|0|0|0||0|0|25.8|55.8|73|115|0|0|0|0|623|15|03:29:36|Garmin Edge 520|https://www.strava.com/activities/1366429555
