date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
1/28/2018|166.95|05:55:06|3103|0|219|4142|0||0|0|28.2|65.5|79|153|125|162|194|908|4,618|11|06:48:47|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1380035902
1/25/2018|85.42|02:22:56|674|0|229|1713|0||0|0|35.9|65.5|87|171|130|177|200|705|1,910|15|02:40:41|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1374661042
1/6/2018|154.16|05:11:58|2634|0|226|3565|0||0|0|29.6|76.3|76|187|128|168|190|593|3,974|13|06:04:47|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1343789700
1/26/2018|65.43|01:58:05|1407|0|285|1641|0||0|0|33.2|81|77|159|0|0|232|795|1,829|8|02:01:54|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1376764246
1/17/2018|171.65|06:01:41|3145|0|238|4204|0||0|0|28.5|76.3|73|187|128|181|194|644|4,688|13|07:17:52|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1361838258
1/16/2018|173.34|04:58:28|958|0|212|3038|0||0|0|34.8|73.1|85|161|125|187|170|908|3,387|14|06:31:16|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1361837306
1/16/2018|173.34|04:58:28|958|0|212|3038|0||0|0|34.8|73.1|85|161|125|187|170|908|3,387|14|06:31:16|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1357783880
1/11/2018|192.09|06:11:50|2204|0|184|3483|0||0|0|31|64.8|82|205|111|149|156|855|3,884|10|06:54:41|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1352009897
1/11/2018|192.09|06:11:50|2204|0|184|3483|0||0|0|31|64.8|82|205|111|149|156|855|3,884|10|06:54:41|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1342071537
2/20/2018|65.71|01:46:17|150|0|214|1213|0||0|0|37.1|59.4|85|134|0|0|190|653|1,352|24|02:12:12|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1416939988
2/13/2018|135.65|05:13:25|3656|0|233|3789|0||0|0|26|64.8|78|175|128|173|201|557|4,225|18|05:37:58|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1405745860
2/12/2018|149.19|05:21:47|3716|0|245|3920|0||0|0|27.8|69.1|80|144|131|182|203|663|4,371|16|05:58:22|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1404271958
2/9/2018|153.88|05:19:30|3065|0|226|3872|0||0|0|28.9|70.6|82|131|126|163|202|830|4,317|15|05:55:06|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1399306010
2/6/2018|169.8|06:28:14|3488|0|211|4442|0||0|0|26.2|69.1|79|160|121|150|191|594|4,953|14|07:29:32|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1394952805
2/5/2018|156.42|06:08:31|4316|0|243|4466|0||0|0|25.5|68.4|77|149|133|177|202|608|4,979|15|07:01:39|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1393143672
2/25/2018|199.42|04:40:00|1282|0|242|3272|0||0|0|42.7|70.2|84|160|0|0|195|878|3,648|22|04:41:40|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1426139920
2/23/2018|135.17|03:05:37|320|0|194|1723|0||0|0|43.7|78.1|81|254|0|0|155|873|1,921|33|03:06:38|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1422196923
2/22/2018|149.73|03:19:07|221|0|223|2079|0||0|0|45.1|67.7|85|204|0|0|174|873|2,318|28|03:20:06|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1420312197
2/21/2018|194.98|04:58:27|1033|0|182|2549|0||0|0|39.2|115.9|80|184|0|0|142|929|2,842|27|05:02:47|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1418900627
3/25/2018|123.33|04:40:55|3367|0|252|3519|0||0|0|26.3|64.4|77|253|132|184|209|531|3,923|16|05:08:29|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1471432420
3/22/2018|132.66|05:11:28|3778|0|235|3942|0||0|0|25.6|70.9|81|195|135|182|211|608|4,396|11|05:43:18|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1465968145
3/20/2018|117.59|03:57:57|2164|0|221|2958|0||0|0|29.7|72.4|86|143|0|0|207|418|3,298|16|04:22:00|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1462853632
3/19/2018|95.83|03:02:22|1414|0|221|2369|0||0|0|31.5|67.3|89|137|127|150|217|647|2,642|18|03:11:23|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1460911082
4/22/2018|39.64|01:15:57|558|0|184|747|0||0|0|31.3|78.5|81|124|0|0|164|534|833|23|01:16:22|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1525165004
