date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
25.01.2018|116.15|04:27:04|1594|0|0|0|0||146|2334|26.1|70.2|88|194|135|169|0|0|2,603|6|04:32:05|Garmin Edge 520|https://www.strava.com/activities/1375666822
24.01.2018|45.24|01:40:18|892|0|0|0|0||174|1048|27.1|64.8|86|132|143|183|0|0|1,169|5|01:40:53|Garmin Edge 520|https://www.strava.com/activities/1375666705
23.01.2018|0.59|00:10:45|2|0|0|0|0||7|5|3.3|7.9|85|101|130|143|0|0|5|20|00:45:12|Garmin Edge 520|https://www.strava.com/activities/1375666618
18.01.2018|0.68|00:13:57|4|0|0|0|0||6|5|2.9|4.7|89|112|132|154|0|0|6|20|01:00:27|Garmin Edge 520|https://www.strava.com/activities/1364940369
07.01.2018|106.8|04:35:05|2067|0|0|0|0||132|2176|23.3|74.2|79|120|0|0|0|0|2,426|4|05:04:36|Garmin Edge 520|https://www.strava.com/activities/1345591463
05.01.2018|0.76|00:02:17|1|0|0|0|0||8|1|20|10.4|95|104|0|0|0|0|1|22|01:54:00|Garmin Edge 520|https://www.strava.com/activities/1345591125
03.01.2018|0.84|00:02:12|0|0|0|0|0||6|1|23.1|3.2|85|101|0|0|0|0|1|21|01:58:09|Garmin Edge 520|https://www.strava.com/activities/1342201291
02.01.2018|0.43|00:09:12|5|0|0|0|0||9|5|2.8|6.1|0|0|140|180|0|0|6|11|00:33:06|Garmin Edge 520|https://www.strava.com/activities/1337063583
31.01.2018|151.95|04:42:11|1874|0|0|0|0||231|3911|32.3|71.3|92|168|140|171|0|0|4,361|6|04:49:58|Garmin Edge 520|https://www.strava.com/activities/1385290323
30.01.2018|40.09|02:18:32|765|0|0|0|0||103|855|17.4|55.1|82|118|147|194|0|0|954|10|02:55:43|Garmin Edge 520|https://www.strava.com/activities/1383123629
28.01.2018|142.02|04:31:09|1531|0|0|0|0||197|3213|31.4|69.8|93|138|142|168|0|0|3,582|3|04:34:44|Garmin Edge 520|https://www.strava.com/activities/1379678519
27.01.2018|83.58|03:09:09|1588|0|0|0|0||167|1897|26.5|74.2|82|127|140|181|0|0|2,115|1|03:10:45|Garmin Edge 520|https://www.strava.com/activities/1377492526
19.01.2018|135.97|04:13:57|1445|0|0|0|0||212|3227|32.1|77.4|91|187|142|181|0|0|3,598|5|04:19:53|Garmin Edge 520|https://www.strava.com/activities/1364928755
17.01.2018|69.1|02:27:48|396|0|0|0|0||142|1259|28.1|68.4|83|152|134|166|0|0|1,404|1|02:38:17|Garmin Edge 520|https://www.strava.com/activities/1364940582
16.01.2018|120.23|04:10:12|509|0|0|0|0||152|2275|28.8|68.8|91|183|0|0|0|0|2,537|5|04:21:53|Garmin Edge 520|https://www.strava.com/activities/1364940375
14.01.2018|76.4|02:48:54|1062|0|0|0|0||156|1585|27.1|71.6|80|129|0|0|0|0|1,768|1|02:50:33|Garmin Edge 520|https://www.strava.com/activities/1364940240
12.01.2018|48.05|01:54:45|343|0|0|0|0||106|731|25.1|60.1|82|210|0|0|0|0|815|5|01:58:53|Garmin Edge 520|https://www.strava.com/activities/1353520239
10.01.2018|119.8|04:02:53|840|0|0|0|0||167|2434|29.6|72|93|190|0|0|0|0|2,714|3|04:05:55|Garmin Edge 520|https://www.strava.com/activities/1350279343
27.02.2018|71.39|02:39:40|578|0|180|1640|67|50%|0|0|26.8|55.1|88|116|138|171|171|565|1,829|-2|02:42:12|Garmin Edge 520|https://www.strava.com/activities/1428780785
15.02.2018|0.57|00:07:50|0|0|0|0|0||9|4|4.4|6.1|91|105|128|143|0|0|4|20|01:05:51|Garmin Edge 520|https://www.strava.com/activities/1410187682
02.02.2018|38.87|01:30:24|368|0|0|0|0||118|639|25.8|56.2|89|166|126|157|0|0|713|1|01:33:21|Garmin Edge 520|https://www.strava.com/activities/1388021703
28.02.2018|141.22|04:27:32|1710|0|224|3190|173|62%|0|0|31.7|65.5|88|118|144|177|199|813|3,557|-2|04:30:09|Garmin Edge 520|https://www.strava.com/activities/1430160180
25.02.2018|122.02|03:15:49|1856|0|0|0|0||300|3525|37.4|79.2|0|0|165|195|0|0|3,930|0|03:15:49|Garmin Edge 520|https://www.strava.com/activities/1428786156
24.02.2018|43.11|01:31:56|597|0|0|0|0||167|919|28.1|65.5|0|0|137|188|0|0|1,024|1|01:35:20|Garmin Edge 520|https://www.strava.com/activities/1422993571
23.02.2018|185.56|05:23:47|2130|0|0|0|0||255|4951|34.4|81|91|134|144|176|0|0|5,521|1|05:29:56|Garmin Edge 520|https://www.strava.com/activities/1421976435
22.02.2018|74.5|02:33:12|653|0|0|0|0||149|1367|29.2|61.6|0|0|148|190|0|0|1,524|0|02:48:20|Garmin Edge 520|https://www.strava.com/activities/1420582709
