date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
1/23/2018|15.24|00:18:29|55|0|414|462|0||0|0|49.5|65.5|106|121|0|0|416|1094|515|37|00:18:29|Garmin Edge 1030|https://www.strava.com/activities/1372089586
1/10/2018|81.83|02:32:11|1111|0|306|2361|0||0|0|32.3|65.2|87|158|0|0|259|1109|2,632|16|02:33:50|Garmin Edge 1030|https://www.strava.com/activities/1350209479
1/1/2018|0.79|00:21:37|0|0|200|234|0||0|0|2.2|14.4|91|155|0|0|180|811|260|10|00:53:41|Garmin Edge 1030|https://www.strava.com/activities/1337034092
1/28/2018|144.3|02:55:00|655|0|263|1485|0||0|0|49.5|76|86|172|0|0|141|1250|1,656|35|02:55:34|Garmin Edge 1030|https://www.strava.com/activities/1380635749
1/27/2018|155.78|03:15:54|619|0|270|2500|0||0|0|47.7|82.4|85|168|0|0|213|1271|2,788|33|03:15:54|Garmin Edge 1030|https://www.strava.com/activities/1378570390
1/26/2018|169.62|04:21:27|2385|0|266|3599|0||0|0|38.9|81.7|89|193|0|0|229|1272|4,013|32|04:26:49|Garmin Edge 1030|https://www.strava.com/activities/1376473085
1/25/2018|63.84|01:59:00|283|0|0|0|0||0|0|32.2|59.8|82|169|93|133|0|0|1,037|33|02:41:00|Garmin Edge 1030|https://www.strava.com/activities/1374762887
1/24/2018|190.77|04:27:40|1035|0|270|3304|0||0|0|42.8|72.7|86|195|0|0|206|1343|3,684|27|04:31:58|Garmin Edge 1030|https://www.strava.com/activities/1373850569
1/22/2018|149.8|03:25:21|955|0|262|2328|0||0|0|43.8|89.6|87|205|0|0|189|1263|2,596|36|03:25:21|Garmin Edge 1030|https://www.strava.com/activities/1370516629
1/21/2018|14.46|00:25:48|42|0|147|207|0||0|0|33.6|42.1|80|158|0|0|134|689|231|33|00:25:48|Garmin Edge 1030|https://www.strava.com/activities/1369059866
1/21/2018|150.2|03:16:27|174|0|227|1897|0||0|0|45.9|64.8|84|196|0|0|161|1373|2,115|39|03:16:27|Garmin Edge 1030|https://www.strava.com/activities/1369059795
1/19/2018|144.53|03:52:36|895|0|263|2790|0||0|0|37.3|76|90|169|0|0|200|955|3,111|34|04:31:07|Garmin Edge 1030|https://www.strava.com/activities/1364855547
1/18/2018|42.37|01:18:20|95|0|154|659|0||0|0|32.5|43.2|86|176|0|0|140|961|735|31|02:03:29|Garmin Edge 1030|https://www.strava.com/activities/1363189190
1/17/2018|173.44|04:33:08|1235|0|240|3070|0||0|0|38.1|79.9|91|178|0|0|187|1190|3,423|30|04:46:50|Garmin Edge 1030|https://www.strava.com/activities/1361839444
1/16/2018|79.69|02:14:12|372|0|194|1392|0||0|0|35.6|60.5|91|151|0|0|173|1058|1,552|28|02:19:04|Garmin Edge 1030|https://www.strava.com/activities/1360148573
1/13/2018|111.19|03:47:53|1275|0|0|0|0||172|2356|29.3|71.3|0|0|0|0|0|0|2,627|4|04:09:49|Garmin Edge 1030|https://www.strava.com/activities/1354585289
1/9/2018|39.35|01:24:49|574|0|194|682|0||0|0|27.8|57.2|75|163|0|0|134|711|760|14|01:27:23|Garmin Edge 1030|https://www.strava.com/activities/1348168860
1/8/2018|190.52|06:08:21|3360|0|259|4789|0||0|0|31|82.1|83|177|0|0|217|1193|5,340|11|06:21:22|Garmin Edge 1030|https://www.strava.com/activities/1346942036
1/7/2018|137.7|04:05:10|1316|0|269|3243|0||0|0|33.7|69.8|88|188|0|0|220|1085|3,616|14|04:46:01|Garmin Edge 1030|https://www.strava.com/activities/1345346409
1/6/2018|70.46|02:30:22|1323|0|232|1804|0||0|0|28.1|69.1|79|157|0|0|200|1015|2,011|16|02:32:27|Garmin Edge 1030|https://www.strava.com/activities/1343455112
1/5/2018|152.96|04:54:32|2701|0|277|3979|0||0|0|31.2|85.7|83|182|0|0|225|1361|4,437|16|05:06:40|Garmin Edge 1030|https://www.strava.com/activities/1341971881
1/2/2018|89.54|02:54:18|1321|0|0|0|0||0|0|30.8|69.8|85|129|136|185|0|0|2,795|6|02:58:40|Garmin Edge 1030|https://www.strava.com/activities/1337034335
2/28/2018|46.66|01:27:37|579|0|0|0|0||0|0|32|56.9|88|115|0|0|0|0|1,470|-2|01:28:19|Garmin Edge 520|https://www.strava.com/activities/1429995959
2/27/2018|5.75|01:17:02|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|||00:00:00||https://www.strava.com/activities/1428454657
2/22/2018|85.56|02:45:15|1254|0|0|0|0||0|0|31.1|60.5|86|128|123|170|0|0|2,659|-1|02:45:59|Garmin Edge 520|https://www.strava.com/activities/1420509258
2/21/2018|92.37|03:01:18|1310|0|271|2408|0||0|0|30.6|67|87|131|0|0|221|1165|2,685|0|03:12:55|Garmin Edge 520|https://www.strava.com/activities/1418935096
2/20/2018|64.47|02:06:54|783|0|0|0|0||0|0|30.5|61.2|0|0|105|139|0|0|1,503|4|02:17:49|Garmin Edge 520|https://www.strava.com/activities/1417174229
2/18/2018|137.57|03:18:16|1042|0|0|0|0||0|0|41.6|86|0|0|146|193|0|0|5,013|31|03:18:16|Garmin Edge 520|https://www.strava.com/activities/1413533633
2/4/2018|84.71|02:49:13|1036|0|0|0|0||0|0|30|60.8|0|0|119|166|0|0|2,011|5|03:06:53|Garmin Edge 1030|https://www.strava.com/activities/1390866971
2/3/2018|142.38|04:35:16|918|0|0|0|0||0|0|31|55.8|0|0|121|158|0|0|3,034|5|04:54:53|Garmin Edge 1030|https://www.strava.com/activities/1389377028
