date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
1/31/2018|116.37|04:04:47|1983|0|233|2915|215|71%|0|0|28.5|70.2|76|127|116|152|198|634|3,250|15|04:24:50|Garmin Edge 820|https://www.strava.com/activities/1383916276
1/30/2018|70.97|02:24:18|1213|0|241|1756|133|73%|0|0|29.5|70.6|80|114|126|161|203|546|1,957|27|02:31:19|Garmin Edge 820|https://www.strava.com/activities/1382342829
1/30/2018|23.44|00:48:52|348|0|214|556|39|65%|0|0|28.8|64.1|85|111|0|0|190|589|620|20|00:58:22|Garmin Edge 820|https://www.strava.com/activities/1381792176
1/28/2018|166.74|04:15:34|1474|0|247|3015|243|75%|0|0|39.1|82.8|85|130|136|193|197|871|3,362|40|04:20:40|Garmin Edge 820|https://www.strava.com/activities/1378931961
1/27/2018|59.66|01:56:06|275|0|171|1031|59|52%|0|0|30.8|53.3|83|119|0|0|148|828|1,149|27|02:48:27|Garmin Edge 820|https://www.strava.com/activities/1377020847
1/26/2018|64.39|02:03:34|525|0|198|1286|80|60%|0|0|31.3|64.8|83|131|107|148|173|588|1,433|20|02:13:42|Garmin Edge 820|https://www.strava.com/activities/1377020780
1/25/2018|115.98|02:32:10|109|0|250|2072|150|76%|0|0|45.7|61.6|91|123|137|168|227|883|2,310|24|02:36:57|Garmin Edge 820|https://www.strava.com/activities/1374173434
1/25/2018|48.95|01:37:50|237|0|151|766|37|46%|0|0|30|45.4|85|118|106|145|131|621|854|21|02:09:12|Garmin Edge 820|https://www.strava.com/activities/1373871812
1/24/2018|161.94|05:12:46|1114|0|202|3270|204|61%|0|0|31.1|69.8|82|126|116|160|174|970|3,646|23|05:56:39|Garmin Edge 820|https://www.strava.com/activities/1372409731
1/23/2018|85.34|02:35:02|488|0|186|1547|84|56%|0|0|33|66.6|85|154|106|138|166|603|1,725|26|02:41:29|Garmin Edge 820|https://www.strava.com/activities/1370604536
1/21/2018|125.58|03:31:09|860|0|216|2137|158|65%|0|0|35.7|74.5|86|132|115|161|169|919|2,383|32|1.04:59:16|Garmin Edge 820|https://www.strava.com/activities/1369460254
1/21/2018|29.58|01:10:21|479|0|197|683|48|60%|0|0|25.2|64.1|77|148|0|0|162|585|761|27|01:24:05|Garmin Edge 820|https://www.strava.com/activities/1367064640
1/20/2018|60.62|01:54:50|642|0|195|1088|67|59%|0|0|31.7|81.7|81|111|125|151|158|783|1,213|31|01:57:39|Garmin Edge 820|https://www.strava.com/activities/1365549854
1/20/2018|153.05|03:48:06|1520|0|257|2925|231|78%|0|0|40.3|94|88|154|130|176|214|891|3,262|32|03:48:36|Garmin Edge 820|https://www.strava.com/activities/1365488172
1/19/2018|137.59|03:50:01|1772|0|233|2647|192|71%|0|0|35.9|88.9|86|147|133|179|192|874|2,952|42|03:50:46|Garmin Edge 820|https://www.strava.com/activities/1364114700
1/18/2018|128.57|03:21:40|1101|0|221|1944|151|67%|0|0|38.3|81.4|87|180|120|176|161|970|2,168|42|03:22:29|Garmin Edge 820|https://www.strava.com/activities/1362590669
1/17/2018|18.74|00:36:46|110|0|143|199|13|43%|0|0|30.6|65.9|74|110|106|146|90|612|222|37|00:42:07|Garmin Edge 820|https://www.strava.com/activities/1361105350
1/17/2018|162.78|04:39:03|2333|0|233|2960|233|71%|0|0|35|79.9|86|156|125|182|177|935|3,300|38|04:39:52|Garmin Edge 820|https://www.strava.com/activities/1361105416
1/16/2018|148.86|03:55:57|1416|0|221|2503|178|67%|0|0|37.9|90.4|86|138|122|168|177|897|2,790|33|03:59:00|Garmin Edge 820|https://www.strava.com/activities/1359453243
1/15/2018|49.83|01:46:55|759|0|198|983|77|60%|0|0|28|76.3|80|143|107|146|153|637|1,096|24|02:49:40|Garmin Edge 820|https://www.strava.com/activities/1357940240
1/14/2018|60.36|01:31:45|352|0|277|1253|129|84%|0|0|39.5|67.3|91|133|138|178|228|1066|1,397|18|01:59:06|Garmin Edge 820|https://www.strava.com/activities/1356567819
1/14/2018|68.94|02:08:56|277|0|174|1192|66|53%|0|0|32.1|51.8|84|127|104|152|154|965|1,329|24|02:36:53|Garmin Edge 820|https://www.strava.com/activities/1355885973
1/13/2018|82.01|02:52:00|213|0|171|1594|85|52%|0|0|28.6|44.3|82|127|0|0|154|663|1,777|18|04:01:37|Garmin Edge 820|https://www.strava.com/activities/1354002381
1/12/2018|29.6|01:01:56|85|0|0|0|0||147|547|28.7|45|0|0|0|0|0|0|610|19|01:45:45|Garmin Edge 820|https://www.strava.com/activities/1352786569
1/11/2018|141.89|04:51:28|1690|0|208|3122|209|63%|0|0|29.2|67.7|80|115|121|155|179|738|3,482|31|05:36:58|Garmin Edge 820|https://www.strava.com/activities/1351160704
1/10/2018|45.09|01:24:14|426|0|264|1012|106|80%|0|0|32.1|63.4|87|124|134|178|200|1036|1,128|23|02:49:58|Garmin Edge 820|https://www.strava.com/activities/1349725039
1/10/2018|116.17|03:59:09|1457|0|228|2791|208|69%|0|0|29.1|68.4|82|120|123|154|194|653|3,112|16|04:28:20|Garmin Edge 820|https://www.strava.com/activities/1349366266
1/9/2018|66.73|02:42:30|948|0|181|1400|93|55%|0|0|24.6|59.8|76|135|0|0|144|701|1,561|23|04:04:47|Garmin Edge 820|https://www.strava.com/activities/1347826023
1/8/2018|30.99|01:03:38|44|0|150|545|22|45%|0|0|29.2|40.3|84|116|0|0|143|401|608|18|01:04:31|Garmin Edge 820|https://www.strava.com/activities/1346292654
1/7/2018|14.1|00:30:02|122|0|147|228|11|45%|0|0|28.2|46.8|82|114|109|134|127|408|254|22|00:33:33|Garmin Edge 820|https://www.strava.com/activities/1344624771
1/7/2018|184.57|04:58:57|2954|0|284|4088|368|86%|0|0|37|90.4|88|143|145|183|228|966|4,558|23|04:58:57|Garmin Edge 820|https://www.strava.com/activities/1344605563
1/6/2018|57.72|02:03:40|437|0|171|1148|60|52%|0|0|28|68|78|117|113|195|155|568|1,280|28|03:00:25|Garmin Edge 820|https://www.strava.com/activities/1342674574
1/5/2018|68.74|02:21:27|829|0|232|1482|120|70%|0|0|29.2|58.3|81|118|119|172|175|847|1,652|32|02:26:59|Garmin Edge 820|https://www.strava.com/activities/1341477361
1/4/2018|11.16|00:30:04|128|0|153|243|13|46%|0|0|22.3|62.3|74|104|104|136|134|429|270|24|00:43:34|Garmin Edge 820|https://www.strava.com/activities/1339970528
1/4/2018|68.66|02:28:35|443|0|155|1264|56|47%|0|0|27.7|62.3|79|119|103|140|142|555|1,409|26|03:02:08|Garmin Edge 820|https://www.strava.com/activities/1339799671
1/3/2018|136.14|04:52:23|2273|0|234|3297|254|71%|0|0|27.9|70.2|78|119|128|180|188|549|3,676|26|05:12:20|Garmin Edge 820|https://www.strava.com/activities/1338377292
1/2/2018|0.26|00:12:08|0|0|182|135|20|55%|0|0|1.3|5.8|83|112|136|146|186|276|151|23|00:40:02|Garmin Edge 820|https://www.strava.com/activities/1338376968
1/2/2018|119.08|03:49:37|867|0|196|2425|138|59%|0|0|31.1|65.2|83|127|109|156|176|615|2,704|25|04:18:59|Garmin Edge 820|https://www.strava.com/activities/1336785812
2/28/2018|89.51|03:13:52|1044|0|235|2560|170|71%|0|0|27.7|60.8|80|111|0|0|220|514|2,855|0|03:22:44|Garmin Edge 820|https://www.strava.com/activities/1429969836
2/27/2018|120.1|04:27:58|1612|0|223|3165|218|68%|0|0|26.9|56.2|77|122|0|0|197|723|3,529|2|05:53:16|Garmin Edge 820|https://www.strava.com/activities/1428631299
2/24/2018|42.24|01:14:28|157|0|230|910|85|70%|0|0|34|54|82|112|119|157|204|609|1,014|31|05:08:41|Garmin Edge 820|https://www.strava.com/activities/1423449689
2/20/2018|60.01|01:40:56|166|0|189|1049|55|57%|0|0|35.7|54|85|145|104|144|173|654|1,169|25|01:42:41|Garmin Edge 820|https://www.strava.com/activities/1418885329
2/19/2018|46.02|01:30:24|149|0|176|856|45|53%|0|0|30.5|55.4|83|147|103|139|158|751|954|25|01:37:23|Garmin Edge 820|https://www.strava.com/activities/1418884570
2/18/2018|67.86|02:38:22|1381|0|205|1775|103|62%|0|0|25.7|59.4|76|109|121|148|187|449|1,979|30|02:44:33|Garmin Edge 820|https://www.strava.com/activities/1418884370
2/18/2018|77.46|02:35:44|1184|0|239|1760|140|72%|0|0|29.8|69.5|81|185|121|176|188|509|1,963|20|02:42:13|Garmin Edge 820|https://www.strava.com/activities/1412795441
2/17/2018|149.89|05:54:55|2068|0|174|3327|175|53%|0|0|25.3|70.9|77|117|108|149|156|450|3,710|26|07:11:55|Garmin Edge 820|https://www.strava.com/activities/1412794458
2/16/2018|121.31|04:51:35|3094|0|230|3490|247|70%|0|0|25|73.4|75|132|125|163|199|448|3,891|24|05:41:04|Garmin Edge 820|https://www.strava.com/activities/1412793612
2/15/2018|77.68|02:58:46|1559|0|245|2052|176|74%|0|0|26.1|82.1|77|120|120|164|191|610|2,288|13|03:24:42|Garmin Edge 820|https://www.strava.com/activities/1407841294
2/14/2018|49.78|02:25:44|802|0|152|1029|56|46%|0|0|20.5|78.8|70|116|0|0|118|625|1,147|23|03:59:17|Garmin Edge 820|https://www.strava.com/activities/1406607218
2/13/2018|191.82|06:46:38|3053|0|211|4584|291|64%|0|0|28.3|76|80|124|127|176|188|639|5,111|23|07:55:59|Garmin Edge 820|https://www.strava.com/activities/1405117966
2/12/2018|151.08|04:56:19|2502|0|234|3726|263|71%|0|0|30.6|72.4|78|118|127|160|210|598|4,154|25|05:52:30|Garmin Edge 820|https://www.strava.com/activities/1403562632
2/11/2018|105.09|04:02:23|2087|0|245|2711|233|74%|0|0|26|68.8|78|119|125|173|186|558|3,023|23|05:02:44|Garmin Edge 820|https://www.strava.com/activities/1401666982
2/10/2018|99.25|04:02:03|1682|0|175|2149|121|53%|0|0|24.6|63|76|133|108|148|148|638|2,396|23|05:24:26|Garmin Edge 820|https://www.strava.com/activities/1401428403
2/9/2018|156.69|05:52:33|2894|0|213|3828|258|65%|0|0|26.7|68.4|79|137|120|160|181|822|4,268|28|06:52:48|Garmin Edge 820|https://www.strava.com/activities/1398645918
2/8/2018|122.19|04:27:31|2009|0|193|2788|165|58%|0|0|27.4|82.1|79|135|116|149|174|606|3,109|21|1.00:26:14|Garmin Edge 820|https://www.strava.com/activities/1398645522
2/7/2018|106.84|04:08:30|2243|0|242|2745|231|73%|0|0|25.8|67.3|78|119|123|175|184|558|3,060|25|04:31:14|Garmin Edge 820|https://www.strava.com/activities/1396548808
2/6/2018|127.64|04:40:16|1817|0|203|3015|201|62%|0|0|27.3|57.6|77|108|118|164|179|686|3,362|31|05:35:04|Garmin Edge 820|https://www.strava.com/activities/1393885334
2/3/2018|126.17|04:46:09|2388|0|236|3475|255|72%|0|0|26.5|72.7|73|118|120|150|202|522|3,875|15|05:21:14|Garmin Edge 820|https://www.strava.com/activities/1388580427
2/2/2018|49.83|02:01:06|858|0|183|1145|74|55%|0|0|24.7|68.4|76|115|0|0|158|521|1,277|24|03:04:28|Garmin Edge 820|https://www.strava.com/activities/1387314713
2/25/2018|202.39|04:50:26|1294|0|245|3273|267|74%|0|0|41.8|77.8|85|138|118|180|188|867|3,649|22|04:52:01|Garmin Edge 820|https://www.strava.com/activities/1425244038
2/23/2018|136.75|03:13:09|369|0|221|2027|147|67%|0|0|42.5|72.4|87|132|121|167|175|904|2,261|32|03:34:27|Garmin Edge 820|https://www.strava.com/activities/1421921874
2/22/2018|160.28|03:51:01|363|0|232|2630|195|70%|0|0|41.6|67.7|88|127|119|168|190|925|2,932|27|04:47:22|Garmin Edge 820|https://www.strava.com/activities/1420298894
2/21/2018|194.99|05:00:40|1197|0|194|2804|174|59%|0|0|38.9|82.4|85|145|111|164|155|876|3,126|30|05:01:03|Garmin Edge 820|https://www.strava.com/activities/1418886372
3/29/2018|133.34|04:48:02|1923|0|229|3103|243|69%|0|0|27.8|64.4|77|107|119|173|180|606|3,460|14|05:23:08|Garmin Edge 820|https://www.strava.com/activities/1478223773
3/17/2018|161.61|06:53:53|2581|0|192|4334|260|58%|0|0|23.4|65.9|79|119|115|150|175|597|4,832|8|08:30:22|Garmin Edge 820|https://www.strava.com/activities/1457734130
3/16/2018|0.07|00:00:00|0|0|223|11|48|68%|0|0|5.1|1.8|93|115|133|149|222|347|12|14|01:03:20|Garmin Edge 820|https://www.strava.com/activities/1456280252
3/16/2018|76.21|03:02:25|1689|0|235|2195|163|71%|0|0|25.1|63.7|76|129|124|154|201|556|2,448|12|03:24:56|Garmin Edge 820|https://www.strava.com/activities/1455982096
3/16/2018|0.04|00:00:00|0|0|185|3|15|56%|0|0|8.7|1.1|89|107|0|0|173|226|3|14|00:30:01|Garmin Edge 820|https://www.strava.com/activities/1455981422
