date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
30.01.2018|42.85|01:20:54|68|0|243|1190|59|64%|0|0|31.8|42.8|93|108|0|0|245|689|1,327|5|01:48:53|Garmin Edge 1000|https://www.strava.com/activities/1396213610
27.01.2018|28.98|00:59:15|147|0|234|758|40|62%|0|0|29.4|48.6|89|113|0|0|213|900|845|4|01:04:45|Garmin Edge 1000|https://www.strava.com/activities/1396213451
26.01.2018|95.67|03:01:59|1210|0|265|2245|161|70%|0|0|31.5|72|86|127|124|175|206|1033|2,503|8|03:27:21|Garmin Edge 1000|https://www.strava.com/activities/1377262558
17.01.2018|80.25|02:51:46|262|0|250|2268|131|66%|0|0|28|50.4|91|125|133|162|220|1429|2,529|3|03:02:03|Garmin Edge 1000|https://www.strava.com/activities/1366213529
15.01.2018|95.78|03:13:24|197|0|265|2819|161|70%|0|0|29.7|51.1|86|130|132|155|243|497|3,143|1|03:18:48|Garmin Edge 1000|https://www.strava.com/activities/1366213318
12.01.2018|75.28|02:30:52|82|0|221|1984|88|58%|0|0|29.9|40|93|200|128|144|219|852|2,212|2|02:37:38|Garmin Edge 1000|https://www.strava.com/activities/1353069481
01.01.2018|117.84|03:56:04|316|0|228|3182|149|60%|0|0|30|49|92|111|130|149|225|945|3,548|4|04:28:03|Garmin Edge 1000|https://www.strava.com/activities/1336060039
25.01.2018|180.98|06:01:45|3128|0|279|5098|337|73%|0|0|30|73.4|86|126|131|173|235|1595|5,684|13|06:26:45|Garmin Edge 1000|https://www.strava.com/activities/1377263578
24.01.2018|120.66|04:16:46|2185|0|258|3432|216|68%|0|0|28.2|65.2|81|117|128|166|223|973|3,827|14|05:41:57|Garmin Edge 1000|https://www.strava.com/activities/1377263202
22.01.2018|161.71|04:58:27|1726|0|255|3503|236|67%|0|0|32.5|69.8|85|119|124|176|196|1092|3,906|19|05:35:09|Garmin Edge 1000|https://www.strava.com/activities/1377262801
21.01.2018|200|06:16:16|2598|0|271|4929|331|71%|0|0|31.9|71.6|89|128|132|177|218|1195|5,495|18|06:43:26|Garmin Edge 1000|https://www.strava.com/activities/1377262466
20.01.2018|167.05|04:58:01|1471|0|262|3640|246|69%|0|0|33.6|68.4|90|131|133|175|204|1016|4,059|16|05:18:53|Garmin Edge 1000|https://www.strava.com/activities/1366214086
14.01.2018|186.22|05:30:40|260|0|254|4737|260|67%|0|0|33.8|54.7|92|154|132|165|239|1559|5,282|0|06:17:05|Garmin Edge 1000|https://www.strava.com/activities/1357027794
13.01.2018|43.35|01:21:14|145|0|0|0|0||217|1058|32|48.6|0|0|157|181|0|0|1,179|0|01:45:50|Garmin Edge 1000|https://www.strava.com/activities/1356099737
06.01.2018|55.97|01:46:53|78|0|209|1284|55|55%|0|0|31.4|45.4|91|116|124|144|200|1093|1,431|3|01:58:18|Garmin Edge 820|https://www.strava.com/activities/1415399640
05.01.2018|56.76|01:47:43|139|0|223|1346|64|59%|0|0|31.6|49|92|200|130|159|208|834|1,501|4|01:52:41|Garmin Edge 820|https://www.strava.com/activities/1341822686
27.02.2018|60.64|02:00:21|89|0|229|1664|76|60%|0|0|30.2|42.8|96|112|0|0|230|615|1,855|0|02:35:05|Garmin Edge 1000|https://www.strava.com/activities/1429664116
