date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
1/31/2018|0|00:00:00|0|0|203|0|14|54%|0|0|0|0|0|110|0|143|0|451|0|0|00:30:58|Garmin Edge 1030|https://www.strava.com/activities/1385014361
1/26/2018|29.75|00:55:53|222|0|237|778|37|63%|0|0|31.9|60.1|102|117|130|155|232|481|868|9|00:56:19|Garmin Edge 1030|https://www.strava.com/activities/1376244674
1/25/2018|30.91|00:54:23|562|0|304|837|71|80%|0|0|34.1|82.4|87|129|149|181|256|854|933|13|01:26:57|Garmin Edge 1030|https://www.strava.com/activities/1374600325
1/22/2018|29.71|01:00:01|0|0|225|805|35|60%|0|0|29.7|40.3|100|121|135|152|224|358|898|18|01:00:01|Garmin Edge 820|https://www.strava.com/activities/1369762235
1/20/2018|30.32|01:00:06|0|0|242|835|41|64%|0|0|30.3|55.8|98|126|133|165|232|976|931|17|01:00:06|Garmin Edge 820|https://www.strava.com/activities/1366628684
1/19/2018|148.15|05:09:44|1277|0|253|4295|237|67%|0|0|28.7|61.9|96|143|138|178|231|1657|4,789|2|05:36:21|Garmin Edge 820|https://www.strava.com/activities/1364609431
1/18/2018|85.27|02:32:30|1264|0|276|2112|135|73%|0|0|33.6|69.8|96|133|0|0|231|513|2,355||02:32:30|Zwift|https://www.strava.com/activities/1362900936
1/18/2018|74.99|02:31:56|47|0|289|2216|147|76%|0|0|29.6|50|96|122|143|180|243|585|2,471|16|02:31:56|Garmin Edge 820|https://www.strava.com/activities/1362898606
1/17/2018|28.41|01:00:23|1|0|226|817|36|60%|0|0|28.2|43.6|101|117|133|146|226|514|911|17|01:00:23|Garmin Edge 820|https://www.strava.com/activities/1361312273
1/16/2018|115.6|04:00:48|1092|0|248|3427|177|66%|0|0|28.8|64.4|98|120|136|172|237|990|3,821|4|04:07:18|Garmin Edge 820|https://www.strava.com/activities/1359902506
1/15/2018|81.18|02:40:41|1464|0|263|2198|130|70%|0|0|30.3|78.8|93|166|0|0|228|518|2,451||02:40:41|Zwift|https://www.strava.com/activities/1358292733
1/15/2018|70.39|02:40:09|30|0|272|2283|138|72%|0|0|26.4|48.2|94|113|150|188|238|581|2,546|17|02:40:09|Garmin Edge 820|https://www.strava.com/activities/1358292289
1/13/2018|146.06|05:09:35|1234|0|248|4178|225|66%|0|0|28.3|64.4|95|136|135|172|225|1633|4,658|2|05:11:52|Garmin Edge 820|https://www.strava.com/activities/1354808172
1/12/2018|92.52|03:04:03|800|0|284|2817|175|75%|0|0|30.2|61.6|97|120|141|178|255|920|3,141|3|03:06:21|Garmin Edge 820|https://www.strava.com/activities/1353074475
1/11/2018|37.5|01:00:28|108|0|205|741|29|54%|0|0|37.2|49|100|116|0|0|204|283|826||01:00:28|Zwift|https://www.strava.com/activities/1351775068
1/11/2018|31.7|01:00:01|0|0|213|766|31|56%|0|0|31.7|34.9|101|115|128|135|213|301|854|18|01:00:01|Garmin Edge 820|https://www.strava.com/activities/1351773529
1/10/2018|41.41|01:30:21|859|0|211|1134|47|56%|0|0|27.5|79.9|95|121|0|0|209|298|1,264||01:30:21|Zwift|https://www.strava.com/activities/1350283004
1/10/2018|39.43|01:30:19|0|0|217|1173|50|57%|0|0|26.2|44.6|96|114|132|143|216|308|1,308|17|01:32:57|Garmin Edge 820|https://www.strava.com/activities/1350282903
1/10/2018|53.63|01:24:29|180|0|238|1037|55|63%|0|0|38.1|69.5|95|120|0|0|205|781|1,156||01:24:29|Zwift|https://www.strava.com/activities/1349897819
1/10/2018|13.99|00:19:39|64|0|305|311|21|81%|0|0|42.7|59|94|124|0|0|264|625|346||00:19:39|Zwift|https://www.strava.com/activities/1349801534
1/10/2018|37.22|00:54:12|138|0|289|817|52|76%|0|0|41.2|67.3|94|109|0|0|251|856|911||00:54:12|Zwift|https://www.strava.com/activities/1349779337
1/10/2018|3.98|00:07:58|30|0|176|82|3|47%|0|0|30|47.9|90|110|0|0|172|255|92||00:08:19|Zwift|https://www.strava.com/activities/1349726496
