date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
28.01.2018|162.15|04:21:43|1611|0|254|3342|178|64%|0|0|37.2|82.8|85|133|0|0|213|1126|3,726|40|04:23:50|SRM PC8|https://www.strava.com/activities/1391944764
27.01.2018|18.23|00:50:46|273|0|171|364|18|43%|0|0|21.6|67|67|108|0|0|120|573|406|27|02:00:30|SRM PC8|https://www.strava.com/activities/1377358254
26.01.2018|54.68|01:51:10|243|0|164|990|32|41%|0|0|29.5|48.2|80|110|0|0|148|863|1,104|23|01:56:49|SRM PC8|https://www.strava.com/activities/1377358363
25.01.2018|156.85|04:14:56|373|0|254|3149|181|64%|0|0|36.9|63.4|85|124|0|0|206|1104|3,511|26|09:35:36|SRM PC8|https://www.strava.com/activities/1377358747
24.01.2018|132.22|04:05:12|1202|0|249|2807|162|62%|0|0|32.4|77|80|123|0|0|191|1343|3,130|26|04:35:55|SRM PC8|https://www.strava.com/activities/1377358482
23.01.2018|55.38|01:50:29|262|0|161|892|31|40%|0|0|30.1|53.3|78|114|0|0|135|765|994|26|02:32:58|SRM PC8|https://www.strava.com/activities/1370760560
21.01.2018|153.56|04:29:26|913|0|255|3012|206|64%|0|0|34.2|70.6|81|116|0|0|186|1140|3,358|37|06:05:43|SRM PC8|https://www.strava.com/activities/1370760647
20.01.2018|152.56|03:54:33|1591|0|309|4069|232|77%|0|0|39|92.9|87|120|0|0|289|1108|4,537|33|03:56:34|SRM PC8|https://www.strava.com/activities/1370760561
15.01.2018|50.54|01:25:41|432|0|211|920|41|53%|0|0|35.4|82.1|79|117|0|0|179|1204|1,025|27|01:33:15|SRM PC8|https://www.strava.com/activities/1361167875
14.01.2018|66.51|02:14:49|183|0|169|1053|44|42%|0|0|29.6|63.4|80|107|7|136|130|1107|1,174|26|09:12:29|SRM PC8|https://www.strava.com/activities/1361167949
13.01.2018|35.69|01:19:44|132|0|143|573|20|36%|0|0|26.9|42.5|77|202|0|0|120|948|639|22|02:13:58|SRM PC8|https://www.strava.com/activities/1361167849
