date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
30.01.2018|41.67|01:21:43|378|0|186|832|34|49%|0|0|30.6|56.9|89|114|113|145|170|547|928|22|01:59:58|Garmin Edge 520|https://www.strava.com/activities/1382653010
27.01.2018|45.07|01:32:53|401|0|190|823|40|50%|0|0|29.1|62.6|83|108|102|148|148|572|918|22|01:36:42|Garmin Edge 1030|https://www.strava.com/activities/1376984811
26.01.2018|78.02|02:46:16|711|0|194|1452|77|51%|0|0|28.2|65.2|84|112|103|155|146|604|1,619|22|03:08:30|Garmin Edge 1030|https://www.strava.com/activities/1375462595
25.01.2018|45.29|01:37:20|226|0|166|926|37|44%|0|0|27.9|45|85|109|103|125|159|733|1,032|22|02:08:02|Garmin Edge 1030|https://www.strava.com/activities/1375461449
24.01.2018|162.08|05:14:25|1231|0|199|3255|149|52%|0|0|30.9|69.8|87|119|111|150|173|862|3,629|25|05:57:11|Garmin Edge 1030|https://www.strava.com/activities/1372406064
23.01.2018|85.48|02:35:29|536|0|203|1668|78|53%|0|0|33|65.9|89|138|104|133|179|564|1,860|25|02:47:00|Garmin Edge 1030|https://www.strava.com/activities/1370619581
15.01.2018|27.46|01:00:48|63|0|0|0|0||0|0|27.1|45.4|80|103|86|115|0|0||23|01:20:28|SRM PC8|https://www.strava.com/activities/1357942622
14.01.2018|47.41|01:51:16|734|0|0|0|0||0|0|25.6|118.1|82|127|98|150|0|0||23|02:49:51|SRM PC8|https://www.strava.com/activities/1356037742
13.01.2018|26.57|00:53:20|66|0|0|0|0||0|0|29.9|50.4|86|108|110|138|0|0||21|01:21:41|SRM PC8|https://www.strava.com/activities/1356037832
12.01.2018|120.06|03:57:26|1724|0|0|0|0||0|0|30.3|68.4|87|124|128|187|0|0||20|04:28:02|SRM PC8|https://www.strava.com/activities/1352696310
11.01.2018|117.29|03:52:14|1485|0|0|0|0||0|0|30.3|72|87|136|124|179|0|0||32|04:42:25|SRM PC8|https://www.strava.com/activities/1351302006
10.01.2018|88.27|03:03:30|1403|0|0|0|0||0|0|28.9|72|88|119|115|221|0|0||24|04:46:05|SRM PC8|https://www.strava.com/activities/1350018868
09.01.2018|51.75|01:52:25|821|0|0|0|0||0|0|27.6|79.9|84|116|117|149|0|0||24|02:38:31|SRM PC8|https://www.strava.com/activities/1349235582
