date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
24.01.2018|100.2|03:17:02|1211|0|292|2710|208|78%|0|0|30.5|66.2|85|140|138|183|229|1785|3,022|11|03:24:45|Garmin Edge 510|https://www.strava.com/activities/1374666686
22.02.2018|63.37|02:40:37|219|0|0|0|0||161|1552|23.7|43.2|0|0|126|150|0|0|1,730||02:44:18|Garmin Forerunner 920XT|https://www.strava.com/activities/1420220328
13.02.2018|47.66|02:05:39|225|0|217|1413|76|58%|0|0|22.8|52.9|79|127|131|190|187|1061|1,575||02:18:26|Garmin Forerunner 920XT|https://www.strava.com/activities/1405311895
06.02.2018|44.85|02:00:18|203|0|0|0|0||203|1463|22.4|48.6|0|0|125|171|0|0|1,631||02:05:28|Garmin Forerunner 920XT|https://www.strava.com/activities/1394031793
08.02.2018|24.34|01:51:32|159|0|0|0|0||146|977|13.1|44.3|0|0|0|0|0|0|1,090||02:06:25|Garmin Forerunner 920XT|https://www.strava.com/activities/1397856141
20.04.2018|39.92|01:04:40|66|0|0|0|0||256|995|37|47.2|0|0|148|171|0|0|1,110||01:04:40|Garmin Forerunner 920XT|https://www.strava.com/activities/1520719961
27.04.2018|148.72|04:52:14|2722|0|0|0|0||242|4239|30.5|74.5|0|0|132|177|0|0|4,727|22|05:16:17|Garmin Edge 510|https://www.strava.com/activities/1534691210
22.04.2018|139.21|03:55:29|1141|0|233|2533|159|63%|0|0|35.5|68.8|87|172|120|176|179|1214|2,824|25|04:06:07|Garmin Edge 510|https://www.strava.com/activities/1524550918
16.04.2018|91.98|02:53:29|109|0|192|1853|78|52%|0|0|31.8|49|87|184|115|142|178|1133|2,066|12|02:55:12|Garmin Edge 510|https://www.strava.com/activities/1511718264
14.04.2018|144.51|04:17:32|1081|0|278|3328|249|75%|0|0|33.7|63|87|224|131|182|215|1146|3,711|14|04:37:51|Garmin Edge 510|https://www.strava.com/activities/1507696702
11.04.2018|137.11|04:06:12|310|0|226|2958|158|61%|0|0|33.4|58.7|88|217|122|167|200|2279|3,298|12|05:03:23|Garmin Edge 510|https://www.strava.com/activities/1502153618
29.05.2018|64.91|02:08:50|75|0|208|1564|68|56%|0|0|30.2|41.8|88|111|0|0|202|806|1,744|17|02:33:00|Garmin Edge 510|https://www.strava.com/activities/1603254602
24.05.2018|152.32|03:25:05|342|0|318|3528|248|85%|0|0|44.6|63.7|94|124|153|182|287|1196|3,933|22|03:25:37|Garmin Edge 510|https://www.strava.com/activities/1593138148
20.05.2018|170.92|03:58:26|1247|0|291|3502|244|78%|0|0|43|69.5|88|130|149|181|245|1208|3,905|23|03:59:56|Garmin Edge 510|https://www.strava.com/activities/1584557686
16.05.2018|170.79|03:41:58|374|0|315|3863|266|85%|0|0|46.2|76|94|127|151|178|290|1377|4,308|13|03:41:58|Garmin Edge 510|https://www.strava.com/activities/1576108085
10.06.2018|198.45|04:42:06|1809|0|290|4001|285|78%|0|0|42.2|72.7|86|128|146|180|236|1247|4,114|22|04:46:52|Garmin Edge 510|https://www.strava.com/activities/1629795229
21.08.2018|88.84|03:05:28|1928|0|297|2684|203|80%|0|0|28.7|93.6|84|132|139|178|241|1129|2,680|22|03:15:57|Garmin Edge 820|https://www.strava.com/activities/1787170243
02.09.2018|62.42|02:00:00|698|0|289|1935|125|78%|0|0|31.2|64.8|88|113|139|169|269|1159|1,936|19|02:10:05|Garmin Edge 820|https://www.strava.com/activities/1815082081
16.10.2018|33.39|02:46:40|137|0|55|347|6|15%|0|0|12|28.8|49|98|0|0|35|613|345|19|04:26:10|Garmin Edge 820|https://www.strava.com/activities/1908299559
12.10.2018|66.22|02:12:03|73|0|204|1570|75|55%|0|0|30.1|49.7|89|125|121|158|198|1169|1,568|13|03:04:33|Garmin Edge 820|https://www.strava.com/activities/1899728337
30.12.2018|132.85|03:59:46|256|0|269|3753|215|72%|0|0|33.2|48.6|88|128|141|170|261|1180|3,778|9|04:31:45|Garmin Edge 130|https://www.strava.com/activities/2044412736
