date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
31.01.2018|165.65|06:02:36|3087|0|0|0|0||0|0|27.4|62.3|86|125|113|149|0|0|5,005|11|07:39:31|Garmin Edge 1030|https://www.strava.com/activities/1384729177
30.01.2018|163.98|04:41:52|2982|0|0|0|0||0|0|34.9|218.2|83|120|123|175|0|0|4,229|9|05:06:53|Garmin Edge 1030|https://www.strava.com/activities/1382822431
28.01.2018|88.83|03:19:57|1777|0|0|0|0||0|0|26.7|99|87|111|121|175|0|0|3,033|13|04:01:11|Garmin Edge 1030|https://www.strava.com/activities/1379604432
27.01.2018|52.41|02:02:38|1285|0|0|0|0||0|0|25.6|65.9|84|124|130|177|0|0||12|02:09:35|Garmin Edge 1030|https://www.strava.com/activities/1377460516
26.01.2018|37.37|01:33:05|596|0|0|0|0||0|0|24.1|61.6|84|115|96|131|0|0||14|02:34:48|Garmin Edge 1030|https://www.strava.com/activities/1375878937
25.01.2018|44.47|01:36:58|736|0|0|0|0||0|0|27.5|67.3|86|119|114|158|0|0||11|01:42:43|Garmin Edge 1030|https://www.strava.com/activities/1374437041
24.01.2018|58.8|02:03:29|1070|0|0|0|0||0|0|28.6|74.5|88|123|113|159|0|0||13|02:11:02|Garmin Edge 1030|https://www.strava.com/activities/1372943966
22.01.2018|120.27|03:51:20|829|0|0|0|0||0|0|31.2|61.9|87|114|0|0|0|0||30|05:00:35|Garmin Edge 1030|https://www.strava.com/activities/1369153282
21.01.2018|35.22|01:23:54|584|0|0|0|0||0|0|25.2|60.8|82|105|114|142|0|0||36|01:31:32|Garmin Edge 1030|https://www.strava.com/activities/1367159752
12.01.2018|5.28|00:50:14|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|||00:00:00|Garmin fēnix 3|https://www.strava.com/activities/1354022771
12.01.2018|35.84|01:17:34|606|0|0|0|0||0|0|27.7|70.6|91|114|103|127|0|0||21|01:22:19|Garmin fēnix 3|https://www.strava.com/activities/1352745514
07.01.2018|124.09|04:04:59|2589|0|0|0|0||0|0|30.4|80.3|0|0|0|0|0|0||20|04:05:39|Garmin Edge 1030|https://www.strava.com/activities/1344490913
06.01.2018|33.13|01:06:25|536|0|0|0|0||0|0|29.9|63|0|0|0|0|0|0||33|01:18:51|Garmin Edge 1030|https://www.strava.com/activities/1342907528
06.01.2018|58.61|01:58:05|166|0|0|0|0||0|0|29.8|51.1|0|0|0|0|0|0||34|03:59:53|Garmin Edge 1030|https://www.strava.com/activities/1342692326
05.01.2018|127.18|04:17:52|2212|0|0|0|0||0|0|29.6|72|0|0|118|156|0|0||26|05:03:11|Garmin Edge 1030|https://www.strava.com/activities/1341370416
03.01.2018|70.3|02:33:25|249|0|0|0|0||0|0|27.5|45.4|0|0|87|122|0|0||26|05:13:02|Garmin Edge 1030|https://www.strava.com/activities/1338425831
02.01.2018|130.76|04:07:07|2328|0|0|0|0||0|0|31.7|75.2|0|0|123|173|0|0||21|04:49:21|Garmin Edge 1030|https://www.strava.com/activities/1336884564
01.01.2018|128.03|04:02:36|1429|0|0|0|0||0|0|31.7|73.4|0|0|121|160|0|0||25|05:19:31|Garmin Edge 1030|https://www.strava.com/activities/1335517751
29.01.2018|125.3|05:07:18|2636|0|0|0|0||0|0|24.5|71.6|80|111|107|159|0|0|3,972|12|05:32:32|Garmin Edge 1030|https://www.strava.com/activities/1381299221
21.01.2018|95.48|02:22:58|716|0|0|0|0||0|0|40.1|72.4|94|136|129|179|0|0||40|03:09:07|Garmin Edge 1030|https://www.strava.com/activities/1367304891
20.01.2018|204.03|05:13:00|2040|0|0|0|0||0|0|39.1|95|93|132|127|187|0|0||35|05:31:20|Garmin Edge 1030|https://www.strava.com/activities/1365530244
19.01.2018|153.85|04:20:10|1988|0|0|0|0||0|0|35.5|108.4|91|167|124|190|0|0||46|04:32:56|Garmin Edge 1030|https://www.strava.com/activities/1364108351
18.01.2018|130.48|03:27:40|1166|0|0|0|0||0|0|37.7|87.8|91|134|109|181|0|0||45|03:28:54|Garmin Edge 1030|https://www.strava.com/activities/1362596413
17.01.2018|185.32|05:28:53|2732|0|0|0|0||0|0|33.8|82.1|89|150|116|191|0|0||42|05:45:31|Garmin Edge 1030|https://www.strava.com/activities/1361108566
16.01.2018|160.77|04:25:39|1645|0|0|0|0||0|0|36.3|91.4|93|136|107|170|0|0||38|04:39:07|Garmin Edge 1030|https://www.strava.com/activities/1359471528
15.01.2018|54.13|01:56:15|966|0|0|0|0||0|0|27.9|78.5|86|125|104|179|0|0||27|02:42:53|Garmin Edge 1030|https://www.strava.com/activities/1357939824
14.01.2018|64.62|01:38:44|419|0|0|0|0||0|0|39.3|74.9|95|130|111|175|0|0||21|01:56:06|Garmin Edge 1030|https://www.strava.com/activities/1356524958
14.01.2018|61.46|01:58:52|175|0|0|0|0||0|0|31|47.5|89|115|93|132|0|0||24|03:09:16|Garmin fēnix 3|https://www.strava.com/activities/1355880264
13.01.2018|82.33|02:26:54|346|0|0|0|0||0|0|33.6|67.7|92|123|107|175|0|0||20|02:42:58|Garmin Edge 1030|https://www.strava.com/activities/1354041072
11.01.2018|162.95|05:04:45|2168|0|0|0|0||0|0|32.1|81.7|88|136|122|189|0|0||32|05:53:49|Garmin Edge 1030|https://www.strava.com/activities/1351142700
10.01.2018|138.64|04:29:16|1636|0|0|0|0||0|0|30.9|76.7|88|125|111|171|0|0||25|05:28:01|Garmin Edge 1030|https://www.strava.com/activities/1349545823
09.01.2018|140.56|04:25:20|2354|0|0|0|0||0|0|31.8|76.7|88|125|118|184|0|0||26|05:00:20|Garmin Edge 1030|https://www.strava.com/activities/1347880612
08.01.2018|57.4|01:51:38|119|0|0|0|0||0|0|30.9|44.3|86|114|88|120|0|0||26|02:34:09|Garmin Edge 1030|https://www.strava.com/activities/1346345730
28.02.2018|23.09|00:30:10|82|0|0|0|0||0|0|45.9|62.3|98|117|0|0|0|0|616||00:30:10|Zwift|https://www.strava.com/activities/1430036689
28.02.2018|2.24|00:06:28|66|0|0|0|0||0|0|20.9|41.4|82|106|0|0|0|0|84||00:06:28|Zwift|https://www.strava.com/activities/1429995630
28.02.2018|113.49|03:56:58|2079|0|0|0|0||0|0|28.7|79.2|88|136|126|170|0|0|3,928|0|04:04:22|Garmin Edge 1030|https://www.strava.com/activities/1429769814
27.02.2018|57.05|02:09:11|775|0|0|0|0||0|0|26.5|56.9|89|106|105|131|0|0|358|2|02:20:39|Garmin Edge 1030|https://www.strava.com/activities/1428322508
26.02.2018|50.82|01:23:00|413|0|0|0|0||0|0|36.7|70.6|88|116|0|0|0|0|1,366||01:23:00|Zwift|https://www.strava.com/activities/1426800156
22.02.2018|55.62|02:04:56|1097|0|0|0|0||0|0|26.7|69.5|90|132|118|149|0|0|1,900|4|02:06:40|Garmin Edge 1030|https://www.strava.com/activities/1420076903
22.02.2018|25.61|00:43:37|209|0|0|0|0||0|0|35.2|58.3|83|110|0|0|0|0|635||00:43:37|Zwift|https://www.strava.com/activities/1419954178
21.02.2018|46.57|01:32:41|869|0|0|0|0||0|0|30.2|73.8|92|115|112|162|0|0|1,432|-2|01:39:26|Garmin Edge 1030|https://www.strava.com/activities/1418515645
20.02.2018|106.44|03:51:29|2464|0|0|0|0||0|0|27.6|75.6|88|130|124|179|0|0|3,770|5|04:01:30|Garmin Edge 1030|https://www.strava.com/activities/1416939437
18.02.2018|14.45|00:21:23|167|0|0|0|0||0|0|40.6|83.2|101|118|157|172|0|0|490|16|00:21:23|Garmin Edge 1030|https://www.strava.com/activities/1413809415
18.02.2018|0.04|00:00:00|0|0|0|0|0||0|0|4.1|1.1|93|133|108|150|0|0|8|21|00:29:39|Garmin Edge 1030|https://www.strava.com/activities/1413721538
18.02.2018|14.01|00:24:18|179|0|0|0|0||0|0|34.6|77|94|110|124|141|0|0|422|13|00:24:18|Garmin Edge 1030|https://www.strava.com/activities/1413295304
13.02.2018|63.01|02:00:12|684|0|0|0|0||0|0|31.5|69.5|91|129|101|144|0|0|1,519|21|02:08:27|Garmin Edge 1030|https://www.strava.com/activities/1405509769
12.02.2018|49.41|01:40:04|253|0|0|0|0||0|0|29.6|49.3|88|136|84|120|0|0|814|14|02:10:09|Garmin Edge 1030|https://www.strava.com/activities/1403917506
09.02.2018|48.94|01:30:19|419|0|0|0|0||0|0|32.5|59.8|92|136|105|155|0|0|1,120|17|01:31:35|Garmin Edge 1030|https://www.strava.com/activities/1399260363
06.02.2018|79.96|02:40:49|1654|0|0|0|0||0|0|29.8|72.7|89|136|129|180|0|0|2,745|6|02:45:09|Garmin Edge 1030|https://www.strava.com/activities/1394421559
02.02.2018|113.84|04:16:39|2372|0|0|0|0||0|0|26.6|65.5|86|127|119|173|0|0|3,887|6|04:30:25|Garmin Edge 1030|https://www.strava.com/activities/1387756144
01.02.2018|24.92|00:58:57|517|0|0|0|0||0|0|25.4|69.1|89|121|115|155|0|0|866|12|01:00:31|Garmin Edge 1030|https://www.strava.com/activities/1386296601
25.02.2018|204.29|05:09:01|1640|0|0|0|0||0|0|39.7|87.5|94|150|127|178|0|0|4,789|0|05:09:58|Garmin Edge 1030|https://www.strava.com/activities/1425682484
24.02.2018|196.93|05:03:57|1842|0|0|0|0||0|0|38.9|80.6|99|200|134|183|0|0|5,082|2|05:05:34|Garmin Edge 1030|https://www.strava.com/activities/1423838071
23.02.2018|61.26|01:57:56|247|0|0|0|0||0|0|31.2|54.7|93|150|108|173|0|0|1,588|0|02:08:50|Garmin Edge 1030|https://www.strava.com/activities/1421740893
17.02.2018|196.8|04:50:24|3127|0|0|0|0||0|0|40.7|87.1|96|188|131|178|0|0|4,825|13|04:51:09|Garmin Edge 1030|https://www.strava.com/activities/1412063487
16.02.2018|166.53|03:59:26|2111|0|0|0|0||0|0|41.7|81.4|94|136|118|183|0|0|3,240|17|04:12:31|Garmin Edge 1030|https://www.strava.com/activities/1410286113
15.02.2018|151.49|04:13:57|2708|0|0|0|0||0|0|35.8|83.9|88|188|122|177|0|0|3,868|13|04:16:42|Garmin Edge 1030|https://www.strava.com/activities/1408780807
14.02.2018|208.9|05:48:19|3363|0|0|0|0||0|0|36|81|93|150|129|183|0|0|5,349|13|05:49:26|Garmin Edge 1030|https://www.strava.com/activities/1407322919
11.02.2018|202.69|05:01:29|1895|0|0|0|0||0|0|40.3|86|96|150|113|180|0|0|3,892|15|05:18:24|Garmin Edge 1030|https://www.strava.com/activities/1402895072
10.02.2018|211.69|05:34:31|2901|0|0|0|0||0|0|38|91.1|97|150|133|173|0|0|5,873|9|05:37:01|Garmin Edge 820|https://www.strava.com/activities/1400883649
08.02.2018|43.36|01:41:48|524|0|0|0|0||0|0|25.6|63.7|92|138|106|136|0|0|1,147|7|02:43:07|Garmin Edge 1030|https://www.strava.com/activities/1397363609
07.02.2018|150.15|05:37:00|2846|0|0|0|0||0|0|26.7|81.7|85|115|112|176|0|0|4,601|7|05:50:31|Garmin Edge 1030|https://www.strava.com/activities/1395998485
04.02.2018|154.83|05:48:32|3274|0|0|0|0||0|0|26.7|68.8|87|125|116|153|0|0|5,022|5|06:58:07|Garmin Edge 1030|https://www.strava.com/activities/1391443724
03.02.2018|123.32|04:54:22|3038|0|0|0|0||0|0|25.1|73.1|81|136|114|169|0|0|4,197|5|05:20:08|Garmin Edge 1030|https://www.strava.com/activities/1389381168
31.03.2018|49.52|01:29:45|73|0|260|1024|60|62%|0|0|33.1|54.4|89|153|110|175|190|1183|1,141|5|01:42:20|Garmin Edge 1030|https://www.strava.com/activities/1481201964
30.03.2018|77.37|02:40:17|920|0|243|1724|95|58%|0|0|29|65.9|84|214|108|174|179|859|1,922|5|02:50:38|Garmin Edge 1030|https://www.strava.com/activities/1479464948
29.03.2018|5.01|00:53:25|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|||00:00:00|Garmin fēnix 3|https://www.strava.com/activities/1478157419
29.03.2018|43.6|01:26:38|94|0|248|921|53|59%|0|0|30.2|52.9|86|125|110|175|177|598|1,027|6|02:00:19|Garmin Edge 1030|https://www.strava.com/activities/1477743747
28.03.2018|169.56|04:19:08|428|0|295|3892|213|70%|0|0|39.3|80.3|96|136|130|181|250|1231|4,340|4|04:20:52|Garmin Edge 1030|https://www.strava.com/activities/1476390374
27.03.2018|60.61|01:49:29|155|0|272|1556|78|65%|0|0|33.2|52.9|93|136|127|172|237|740|1,735|3|01:51:50|Garmin Edge 1030|https://www.strava.com/activities/1474339237
