date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
31.10.2018|54.62|01:47:46|223|0|184|1137|48|51%|0|0|30.4|41.8|93|155|0|0|176|687|1,268|11|01:57:59|Garmin Edge 520|https://www.strava.com/activities/2056301107
30.10.2018|51.36|01:37:13|403|0|0|0|0||0|0|31.7|48.6|92|154|0|0|0|0|1,267|12|01:40:01|Garmin Edge 520|https://www.strava.com/activities/2056301052
29.10.2018|51.01|01:39:16|307|0|187|1024|45|51%|0|0|30.8|49|92|138|0|0|172|561|1,142|19|01:43:51|Garmin Edge 520|https://www.strava.com/activities/2056301060
27.10.2018|48.09|01:37:46|283|0|0|0|0||0|0|29.5|41.4|90|148|0|0|0|0|1,019|18|01:44:59|Garmin Edge 520|https://www.strava.com/activities/2056301037
21.10.2018|65.99|02:52:08|906|0|150|1045|50|41%|0|0|23|54.4|81|179|0|0|101|653|1,165|13|03:34:16|Garmin Edge 520|https://www.strava.com/activities/2056301226
20.10.2018|45.35|01:34:13|248|0|159|810|32|44%|0|0|28.9|39.2|90|113|0|0|143|634|903|16|02:09:23|Garmin Edge 520|https://www.strava.com/activities/2056301102
29.11.2018|107.71|04:17:12|2206|0|0|0|0||0|0|25.1|60.8|80|163|0|0|0|0|3,016|9|05:00:33|Garmin Edge 520|https://www.strava.com/activities/2056302296
28.11.2018|92.71|03:36:15|2323|0|0|0|0||0|0|25.7|62.3|81|199|0|0|0|0|2,680|10|04:19:01|Garmin Edge 520|https://www.strava.com/activities/2056301637
27.11.2018|11.14|00:29:37|240|0|0|0|0||0|0|22.6|67.3|83|116|0|0|0|0|365|13|02:37:18|Garmin Edge 520|https://www.strava.com/activities/2056300961
26.11.2018|96.07|03:35:38|1694|0|215|2369|134|59%|0|0|26.7|62.3|81|134|0|0|183|743|2,421|10|05:09:06|Garmin Edge 520|https://www.strava.com/activities/2056301086
25.11.2018|107.9|04:18:00|2357|0|212|2757|152|58%|0|0|25.1|70.9|79|219|0|0|178|953|3,074|11|05:09:18|Garmin Edge 520|https://www.strava.com/activities/2056302432
24.11.2018|116.03|04:32:18|2551|0|220|2961|174|60%|0|0|25.6|77.8|79|122|0|0|181|724|3,301|10|05:19:10|Garmin Edge 520|https://www.strava.com/activities/2056301840
22.11.2018|114.62|04:14:52|1651|0|229|2915|176|63%|0|0|27|66.2|81|155|0|0|191|726|3,250|10|05:04:50|Garmin Edge 520|https://www.strava.com/activities/2056301722
20.11.2018|107.08|04:18:57|2435|0|0|0|0||0|0|24.8|73.1|77|148|0|0|0|0|3,469|7|04:58:46|Garmin Edge 520|https://www.strava.com/activities/2056302510
19.11.2018|109.39|04:12:32|2259|0|0|0|0||0|0|26|64.4|80|164|0|0|0|0|3,324|8|05:20:58|Garmin Edge 520|https://www.strava.com/activities/2056301872
18.11.2018|35.8|01:20:19|504|0|197|841|42|54%|0|0|26.7|60.1|82|120|0|0|174|612|937|13|02:07:34|Garmin Edge 520|https://www.strava.com/activities/2056301130
17.11.2018|122.49|04:04:34|1385|0|218|2837|151|60%|0|0|30.1|74.5|82|152|0|0|193|663|3,164|12|04:52:17|Garmin Edge 520|https://www.strava.com/activities/2056302485
16.11.2018|99.21|03:55:35|2322|0|0|0|0||0|0|25.3|65.5|74|192|0|0|0|0|3,115|12|04:44:32|Garmin Edge 520|https://www.strava.com/activities/2056301797
15.11.2018|93.76|03:46:40|2088|0|237|2627|168|65%|0|0|24.8|67|82|145|0|0|193|1075|2,929|11|04:16:54|Garmin Edge 520|https://www.strava.com/activities/2056301525
13.11.2018|90.9|03:34:39|2060|0|228|2376|145|63%|0|0|25.4|73.8|81|187|0|0|184|1543|2,649|13|05:10:38|Garmin Edge 1030|https://www.strava.com/activities/2056301918
12.11.2018|107.49|04:09:50|1826|0|196|2271|125|54%|0|0|25.8|64.4|76|132|0|0|151|612|2,532|13|04:44:05|Garmin Edge 1030|https://www.strava.com/activities/2056301444
11.11.2018|109.84|04:11:52|1387|0|292|3711|280|80%|0|0|26.2|70.6|79|212|0|0|246|2105|4,138|11|04:54:44|Garmin Edge 520|https://www.strava.com/activities/2056302084
09.11.2018|99.87|03:52:25|1825|0|0|0|0||0|0|25.8|73.8|82|162|0|0|0|0|2,712|13|04:37:50|Garmin Edge 520|https://www.strava.com/activities/2056302055
08.11.2018|91.67|03:47:29|1847|0|0|0|0||0|0|24.2|70.2|80|200|0|0|0|0|2,541|12|05:29:47|Garmin Edge 520|https://www.strava.com/activities/2056301389
