date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
02.03.2021|52.82|01:44:40|100|0|0|0|0||0|0|30.3|42.8|90|120|0|0|0|0|1,215|11|01:51:44|Garmin Edge 830|https://www.strava.com/activities/4876963996
01.03.2021|53.06|01:57:31|110|0|0|0|0||0|0|27.1|41.4|90|120|0|0|0|0|1,104|9|02:41:11|Garmin Edge 830|https://www.strava.com/activities/4872074741
02.03.2021|52.82|01:44:40|100|0|0|0|0||0|0|30.3|42.8|90|120|0|0|0|0|1,215|11|01:51:44|Garmin Edge 830|https://www.strava.com/activities/4876963996
01.03.2021|53.06|01:57:31|110|0|0|0|0||0|0|27.1|41.4|90|120|0|0|0|0|1,104|9|02:41:11|Garmin Edge 830|https://www.strava.com/activities/4872074741
30.03.2018|34.1|01:00:27|287|0|0|0|0||0|0|33.9|67|94|117|117|143|0|0|748||01:00:27|Zwift|https://www.strava.com/activities/1479528278
29.03.2018|76.2|03:01:42|2255|0|215|2150|117|61%|0|0|25.2|78.5|86|116|0|0|197|448|2,398|9|03:13:02|Pioneer|https://www.strava.com/activities/1477873358
28.03.2018|30.11|01:22:07|875|0|0|0|0||0|0|22|64.1|84|108|123|147|0|0|924|8|01:23:06|Pioneer|https://www.strava.com/activities/1476575607
28.03.2018|48.89|01:30:03|391|0|0|0|0||0|0|32.6|62.3|89|128|126|153|0|0|1,096||01:30:22|Zwift|https://www.strava.com/activities/1476727433
27.03.2018|35.73|01:00:42|102|0|0|0|0||0|0|35.3|49|90|153|0|0|0|0|705||01:00:42|Zwift|https://www.strava.com/activities/1474301626
25.03.2018|9.18|00:18:25|14|0|0|0|0||0|0|29.9|70.6|0|0|111|132|0|0|93|7|00:18:25|Pioneer|https://www.strava.com/activities/1474230538
25.03.2018|12.3|00:20:02|293|0|0|0|0||0|0|36.9|67|0|0|178|185|0|0|375|6|00:20:02|Pioneer|https://www.strava.com/activities/1474230628
22.03.2018|10.36|00:21:21|12|0|0|0|0||0|0|29.1|48.2|90|107|121|139|0|0|211|4|00:21:21|Pioneer|https://www.strava.com/activities/1465498316
13.03.2018|30.16|01:00:39|532|0|192|647|30|54%|0|0|29.8|65.2|92|144|0|0|178|365|721||01:03:26|Zwift|https://www.strava.com/activities/1451346698
12.03.2018|34.2|00:59:50|97|0|177|615|24|50%|0|0|34.3|80.3|93|112|0|0|171|476|685|9|00:59:50|Pioneer|https://www.strava.com/activities/1449241072
10.03.2018|38.84|01:11:13|157|0|231|865|52|65%|0|0|32.7|71.3|96|135|0|0|203|1174|965|9|01:40:08|Pioneer|https://www.strava.com/activities/1445362842
07.03.2018|170.23|06:06:49|2835|0|0|0|0||0|0|27.8|82.8|87|127|127|153|0|0|4,642|7|06:46:30|Pioneer|https://www.strava.com/activities/1440896395
06.03.2018|136.63|05:00:34|2881|0|0|0|0||0|0|27.3|79.2|86|126|140|183|0|0|4,157|9|05:29:34|Pioneer|https://www.strava.com/activities/1439101405
05.03.2018|87.22|03:02:02|1114|0|0|0|0||0|0|28.7|84.2|89|121|133|191|0|0|2,478|6|03:21:51|Pioneer|https://www.strava.com/activities/1437578468
03.03.2018|193.54|06:45:57|2867|0|0|0|0||0|0|28.6|118.8|88|130|130|157|0|0|5,318|10|07:21:23|Pioneer|https://www.strava.com/activities/1434150458
02.03.2018|144.28|05:00:50|2103|0|0|0|0||0|0|28.8|92.2|90|119|134|186|0|0|4,177|9|05:26:58|Pioneer|https://www.strava.com/activities/1432636784
31.03.2018|98.66|04:09:47|2931|0|0|0|0||0|0|23.7|63.4|89|129|131|232|0|0|3,429|9|04:51:10|Pioneer|https://www.strava.com/activities/1481637464
25.03.2018|24.95|00:56:51|330|0|0|0|0||0|0|26.3|62.6|84|113|120|167|0|0|508|5|01:00:19|Pioneer|https://www.strava.com/activities/1470537778
24.03.2018|170.83|03:50:53|168|0|0|0|0||0|0|44.4|69.8|92|137|139|185|0|0|2,904|11|03:54:12|Pioneer|https://www.strava.com/activities/1470540354
23.03.2018|132.59|03:50:10|2855|0|0|0|0||0|0|34.6|82.1|93|135|151|192|0|0|3,660|7|03:52:21|Pioneer|https://www.strava.com/activities/1470551434
22.03.2018|22.64|00:36:59|42|0|0|0|0||0|0|36.7|68.4|98|116|0|0|0|0||3|00:50:07|Pioneer|https://www.strava.com/activities/1465899771
22.03.2018|98.9|02:18:00|602|0|0|0|0||0|0|43|79.2|94|128|148|189|0|0|1,933|5|02:27:29|Pioneer|https://www.strava.com/activities/1465499205
21.03.2018|69.38|02:01:31|289|0|0|0|0||0|0|34.3|73.4|92|140|132|179|0|0|1,577|3|02:25:33|Pioneer|https://www.strava.com/activities/1463980077
