date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
29.01.2018|87.29|02:41:49|1108|0|253|2047|97|59%|0|0|32.4|75.2|79|141|134|176|211|567|2,282|14|02:48:00|Garmin Edge 1030|https://www.strava.com/activities/1522078315
27.01.2018|184.56|05:40:26|2126|0|244|4216|189|57%|0|0|32.5|66.2|81|132|124|160|206|743|4,701|13|06:04:08|Garmin Edge 1030|https://www.strava.com/activities/1522079097
25.01.2018|145.04|04:43:28|1716|0|266|3681|186|62%|0|0|30.7|74.5|87|172|133|187|216|1193|4,105|15|04:54:24|Garmin Edge 1030|https://www.strava.com/activities/1522076977
30.01.2018|159.64|04:55:33|2510|0|276|3854|211|64%|0|0|32.4|68.8|78|139|127|174|217|762|4,298|13|05:12:42|Garmin Edge 1030|https://www.strava.com/activities/1522078008
28.01.2018|46.47|01:43:18|396|0|207|1093|41|48%|0|0|27|51.8|79|167|112|139|176|498|1,218|15|02:09:34|Garmin Edge 1030|https://www.strava.com/activities/1522075254
26.01.2018|154.41|04:40:24|2226|0|275|3677|195|64%|0|0|33|78.1|81|182|131|178|219|815|4,100|12|04:51:31|Garmin Edge 1030|https://www.strava.com/activities/1522079007
24.01.2018|85.9|02:47:20|1328|0|252|1872|98|59%|0|0|30.8|76|84|145|135|186|187|1104|2,088|18|02:54:50|Garmin Edge 1030|https://www.strava.com/activities/1522076020
27.02.2018|74.67|03:01:45|1744|0|292|2408|144|68%|0|0|24.7|61.9|77|117|121|164|221|1103|2,685|-1|03:07:45|Garmin Edge 1030|https://www.strava.com/activities/1522076264
26.02.2018|137.92|05:06:23|2005|0|247|4036|174|57%|0|0|27|64.1|82|120|123|163|220|871|4,501|-1|06:01:35|Garmin Edge 1030|https://www.strava.com/activities/1522078072
25.02.2018|61.37|02:13:51|594|0|213|1478|58|50%|0|0|27.5|58.7|82|117|111|147|184|520|1,648|3|02:33:45|Garmin Edge 1030|https://www.strava.com/activities/1522075272
24.02.2018|53.05|02:13:24|1010|0|273|1625|93|63%|0|0|23.9|60.8|76|120|119|166|203|848|1,812|0|02:40:34|Garmin Edge 1030|https://www.strava.com/activities/1522075681
23.02.2018|73.76|03:02:21|1493|0|247|2323|106|57%|0|0|24.3|65.9|77|122|115|150|212|1040|2,590|0|03:36:58|Garmin Edge 1030|https://www.strava.com/activities/1522077041
22.02.2018|108.91|04:02:45|1791|0|275|3159|175|64%|0|0|26.9|69.5|81|118|125|167|217|753|3,522|1|05:19:29|Garmin Edge 1030|https://www.strava.com/activities/1522076927
