date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
31.01.2018|59.63|02:03:02|538|0|0|0|0||158|1164|29.1|56.9|0|0|139|171|0|0|1,298|4|02:18:40|Garmin Edge 820|https://www.strava.com/activities/1384568247
30.01.2018|85.45|02:56:10|811|0|0|0|0||164|1736|29.1|62.6|0|0|142|175|0|0|1,936|3|02:57:54|Garmin Edge 820|https://www.strava.com/activities/1382785622
29.01.2018|58.74|01:58:33|557|0|0|0|0||152|1085|29.7|52.9|0|0|137|164|0|0|1,209|9|02:06:30|Garmin Edge 820|https://www.strava.com/activities/1381237747
27.01.2018|56.56|02:00:38|523|0|230|1526|45|46%|0|0|28.1|46.4|72|168|130|159|211|662|1,702|6|02:08:03|Garmin Edge 820|https://www.strava.com/activities/1377279201
26.01.2018|25.01|00:59:33|143|0|163|557|11|33%|0|0|25.2|39.6|72|132|113|135|156|321|621|7|01:02:17|Garmin Edge 820|https://www.strava.com/activities/1376120523
20.01.2018|62.9|02:17:18|1315|0|288|1879|77|58%|0|0|27.5|65.9|61|135|142|187|228|640|2,095|17|02:20:02|Garmin Edge 820|https://www.strava.com/activities/1366468114
19.01.2018|142.5|04:40:39|2859|0|250|3650|122|50%|0|0|30.5|82.1|71|231|149|190|217|1267|4,070|13|04:54:21|Garmin Edge 820|https://www.strava.com/activities/1364637719
16.01.2018|57.45|01:59:50|495|0|197|1340|31|39%|0|0|28.8|62.6|74|127|126|154|186|656|1,494|14|02:01:37|Garmin Edge 820|https://www.strava.com/activities/1359892016
14.01.2018|118.82|04:05:20|1397|0|232|2900|91|46%|0|0|29.1|63|68|145|135|181|197|1207|3,234|8|05:03:45|Garmin Edge 820|https://www.strava.com/activities/1356779445
13.01.2018|183.49|05:55:39|2187|0|269|5368|178|54%|0|0|31|67.3|72|157|153|181|252|912|5,985|7|06:14:23|Garmin Edge 820|https://www.strava.com/activities/1354994107
11.01.2018|91.37|02:59:09|849|0|238|2436|72|48%|0|0|30.6|66.2|73|151|137|161|227|962|2,716|10|03:10:12|Garmin Edge 820|https://www.strava.com/activities/1351630262
10.01.2018|152.27|05:13:26|2915|0|275|4559|165|55%|0|0|29.2|64.4|71|126|150|191|242|746|5,084|9|05:38:13|Garmin Edge 820|https://www.strava.com/activities/1350173896
08.01.2018|131|04:00:26|945|0|270|3548|121|54%|0|0|32.7|61.2|76|132|141|185|246|772|3,956|7|04:10:16|Garmin Edge 820|https://www.strava.com/activities/1346887112
07.01.2018|48.18|01:39:25|385|0|252|1320|42|50%|0|0|29.1|58.7|73|139|133|179|221|1014|1,472|8|01:40:36|Garmin Edge 820|https://www.strava.com/activities/1345550882
05.01.2018|98.24|03:15:16|1067|0|259|2721|91|52%|0|0|30.2|67|73|180|141|187|232|949|3,034|17|03:22:46|Garmin Edge 820|https://www.strava.com/activities/1341926392
04.01.2018|139.24|03:59:13|826|0|293|3981|143|59%|0|0|34.9|64.1|76|116|156|188|277|485|4,439|18|04:13:56|Garmin Edge 820|https://www.strava.com/activities/1340457114
03.01.2018|88.76|03:02:14|1034|0|238|2455|70|48%|0|0|29.2|64.8|75|146|130|156|224|1241|2,737|17|03:06:22|Garmin Edge 820|https://www.strava.com/activities/1338850992
02.01.2018|129.68|04:03:52|923|0|257|3662|109|51%|0|0|31.9|63.7|76|117|140|168|250|1007|4,083|11|04:11:07|Garmin Edge 820|https://www.strava.com/activities/1337389670
01.01.2018|25.78|01:01:43|147|0|164|570|11|33%|0|0|25.1|46.4|69|128|113|140|154|614|636|13|01:03:45|Garmin Edge 820|https://www.strava.com/activities/1335981820
24.01.2018|84.4|03:23:27|1260|0|0|0|0||139|1703|24.9|58.3|0|0|111|138|0|0|1,899|14|03:25:38|Garmin Edge 820|https://www.strava.com/activities/1372814258
23.01.2018|151.65|05:05:03|2608|0|0|0|0||202|3705|29.8|63.7|0|0|134|187|0|0|4,131|16|05:38:43|Garmin Edge 820|https://www.strava.com/activities/1371259619
22.01.2018|119.89|03:54:26|1872|0|227|1645|61|45%|0|0|30.7|63|70|226|133|195|117|719|1,835|19|04:05:22|Garmin Edge 820|https://www.strava.com/activities/1369562425
21.01.2018|176.96|06:00:43|1987|0|240|4327|147|48%|0|0|29.4|59|68|134|132|194|200|1189|4,824|20|07:06:37|Garmin Edge 820|https://www.strava.com/activities/1368195398
20.01.2018|51.41|02:01:36|800|0|192|1075|30|38%|0|0|25.4|60.1|63|227|116|165|147|493|1,198|13|02:25:57|Garmin Edge 820|https://www.strava.com/activities/1365901454
18.01.2018|151|04:54:37|2066|0|261|3519|142|52%|0|0|30.8|62.6|69|231|145|202|199|953|3,924|14|05:39:12|Garmin Edge 820|https://www.strava.com/activities/1363163178
17.01.2018|65.05|02:17:16|553|0|212|1555|42|42%|0|0|28.4|54|74|125|133|187|189|1061|1,734|11|02:25:23|Garmin Edge 820|https://www.strava.com/activities/1361431957
09.01.2018|54.8|02:02:21|537|0|192|1284|32|38%|0|0|26.9|58.3|73|177|119|153|175|900|1,432|10|03:52:16|Garmin Edge 820|https://www.strava.com/activities/1348328688
06.01.2018|160.36|05:54:37|2881|0|238|4467|145|48%|0|0|27.1|67|68|127|137|183|210|1021|4,980|9|06:45:04|Garmin Edge 820|https://www.strava.com/activities/1343711652
19.02.2018|89.02|03:04:51|505|0|0|0|0||136|1512|28.9|46.1|0|0|147|168|0|0|1,685|7|03:12:23|Garmin Edge 820|https://www.strava.com/activities/1415475095
18.02.2018|48.17|01:47:41|295|0|0|0|0||121|780|26.8|54.7|0|0|126|155|0|0|870|7|01:55:47|Garmin Edge 820|https://www.strava.com/activities/1413881766
17.02.2018|17.68|00:30:54|142|0|201|351|8|40%|0|0|34.3|59|93|108|136|161|190|644|392||00:31:46|Zwift|https://www.strava.com/activities/1411936865
11.02.2018|12.04|00:18:07|119|0|292|304|11|58%|0|0|39.9|77.8|80|128|174|190|280|1159|339|11|00:20:10|Garmin Edge 820|https://www.strava.com/activities/1414625862
11.02.2018|3.85|00:08:31|15|0|215|81|2|43%|0|0|27.1|40.7|64|132|133|169|159|1079|91|8|00:08:31|Garmin Edge 820|https://www.strava.com/activities/1414625839
01.02.2018|46.09|01:28:18|264|0|0|0|0||171|905|31.3|51.8|0|0|142|186|0|0|1,009|4|01:28:18|Garmin Edge 820|https://www.strava.com/activities/1386179145
23.02.2018|118.3|03:37:26|2473|0|269|3093|105|54%|0|0|32.6|71.3|74|243|159|186|237|860|3,448|8|03:37:26|Garmin Edge 820|https://www.strava.com/activities/1421900234
22.02.2018|155.24|03:47:58|1489|0|0|0|0||360|4929|40.9|83.2|0|0|0|0|0|0|5,495|8|03:48:25|Garmin Edge 820|https://www.strava.com/activities/1420405475
21.02.2018|53.3|01:35:21|88|0|202|1038|26|40%|0|0|33.5|52.6|80|122|130|167|181|754|1,157|15|01:40:04|Garmin Edge 820|https://www.strava.com/activities/1418686297
09.02.2018|107.95|03:11:07|603|0|251|1262|52|50%|0|0|33.9|59.4|75|136|137|188|110|1193|1,407|7|03:19:23|Garmin Edge 820|https://www.strava.com/activities/1399353710
08.02.2018|139.46|04:52:33|2132|0|252|3431|128|50%|0|0|28.6|69.5|69|130|140|195|195|1145|3,826|8|05:26:23|Garmin Edge 820|https://www.strava.com/activities/1397808704
07.02.2018|153.1|04:45:14|1123|0|222|3161|97|44%|0|0|32.2|59.4|75|191|133|178|185|1167|3,525|7|05:13:17|Garmin Edge 820|https://www.strava.com/activities/1396033378
05.02.2018|153.5|04:53:15|938|0|209|2915|90|42%|0|0|31.4|58.3|74|183|128|190|166|1180|3,250|12|05:37:15|Garmin Edge 820|https://www.strava.com/activities/1392851691
04.02.2018|131.01|04:19:47|2023|0|237|3004|103|47%|0|0|30.3|70.9|72|228|139|192|193|1199|3,349|11|04:53:48|Garmin Edge 820|https://www.strava.com/activities/1391366940
03.02.2018|133.37|03:59:24|751|0|204|2505|68|41%|0|0|33.4|58.3|77|154|129|164|174|1011|2,793|11|04:31:00|Garmin Edge 820|https://www.strava.com/activities/1389441547
28.03.2018|63.09|01:55:12|281|0|284|1657|66|57%|0|0|32.9|59.4|79|134|145|189|240|610|1,848|7|02:08:10|Garmin Edge 820|https://www.strava.com/activities/1476101960
27.03.2018|57.99|01:58:11|886|0|289|1831|68|58%|0|0|29.4|76|75|116|154|188|258|1236|2,042|6|02:03:09|Garmin Edge 820|https://www.strava.com/activities/1474422136
25.03.2018|3.2|00:07:52|24|0|169|76|2|34%|0|0|24.4|34.9|59|88|120|135|160|421|84|10|00:11:02|Garmin Edge 820|https://www.strava.com/activities/1471532941
