date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
27.05.2018|113.07|02:51:03|955|0|275|2215|0||0|0|39.7|71.6|76|171|0|0|216|990|2,470|26|02:51:03|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1611261708
26.05.2018|213.37|05:49:01|4173|0|327|5799|0||0|0|36.7|83.5|83|212|0|0|277|920|6,466|26|05:49:35|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605210917
25.05.2018|182.07|05:20:04|4615|0|358|6188|0||0|0|34.1|82.4|83|245|0|0|322|928|6,900|23|05:20:04|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605210123
24.05.2018|196.92|05:07:12|2237|0|282|4084|0||0|0|38.5|80.3|81|171|0|0|222|943|4,554|29|05:08:25|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605209257
23.05.2018|154.29|03:35:57|2006|0|332|3784|0||0|0|42.9|92.2|86|167|0|0|292|997|4,219|22|03:35:57|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605208472
22.05.2018|33.97|00:41:48|234|0|0|0|0||0|0|48.8|65.5|0|0|0|0|0|0||16|00:42:08|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605207964
21.05.2018|33.63|01:06:09|237|0|154|475|0||0|0|30.5|63.4|82|128|0|0|120|369|530|23|01:06:46|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605207590
08.05.2018|201.03|05:19:46|3528|0|268|4129|0||0|0|37.7|78.8|81|175|0|0|215|1055|4,604|26|05:20:57|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605200441
07.05.2018|0.01|00:00:00|0|0|180|4|0||0|0|1.8|2.5|89|129|0|0|160|276|4|19|00:49:10|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605199807
06.05.2018|232.64|05:09:49|1857|0|229|3227|0||0|0|45.1|96.1|81|175|0|0|174|1082|3,598|27|05:11:23|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605199982
05.05.2018|171.46|04:05:19|1028|0|0|0|0||0|0|41.9|75.6|83|178|0|0|0|0|3,435|28|04:06:13|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605199536
04.05.2018|9.71|00:13:51|177|0|0|0|0||0|0|42.1|74.2|95|121|0|0|0|0|336|28|00:13:51|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605198846
20.05.2018|174.47|04:38:11|3937|0|337|4764|0||0|0|37.6|86|84|176|0|0|285|955|5,312|15|04:39:15|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605207266
18.05.2018|180.47|03:57:15|515|0|237|2805|0||0|0|45.6|79.6|84|190|0|0|197|898|3,127|25|03:58:23|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605206630
17.05.2018|213.76|04:47:54|895|0|242|3334|0||0|0|44.5|83.2|84|174|0|0|193|894|3,717|19|04:49:55|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605205918
16.05.2018|155.24|03:25:10|2013|0|299|3004|0||0|0|45.4|87.1|86|179|0|0|244|943|3,349|18|03:26:00|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605205271
15.05.2018|243.15|06:07:07|4177|0|304|5737|0||0|0|39.7|90|87|194|0|0|260|945|6,396|15|06:07:48|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605204708
13.05.2018|228.54|05:59:41|4070|0|293|5084|0||0|0|38.1|86.4|85|254|0|0|236|896|5,669|24|06:01:03|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605203888
12.05.2018|208.47|05:11:58|3121|0|275|4074|0||0|0|40.1|84.2|83|160|0|0|218|907|4,542|23|05:13:06|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605203149
11.05.2018|224.63|04:20:00|1331|0|224|2445|0||0|0|51.8|111.2|81|148|0|0|157|961|2,726|27|06:13:30|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605202280
10.05.2018|169.06|04:22:57|3290|0|284|3744|0||0|0|38.6|91.8|83|254|0|0|237|927|4,174|24|04:23:32|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605201647
09.05.2018|149.6|04:05:32|2126|0|256|2823|0||0|0|36.6|81.4|81|179|0|0|192|1042|3,148|25|04:06:49|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1605201006
27.06.2018|39.64|01:30:48|604|0|0|0|0||0|0|26.2|52.2|83|144|133|196|0|0|821|23|01:42:33|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1667029004
17.06.2018|21.25|00:26:24|191|0|372|564|0||0|0|48.3|88.9|98|167|0|0|356|798|515|24|00:26:39|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1644476300
17.06.2018|21.37|00:36:27|188|0|0|0|0||0|0|35.2|77.8|0|0|127|163|0|0|294|20|00:36:27|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1644476996
12.06.2018|28.95|00:55:46|29|0|136|410|0||0|0|31.2|37.8|94|174|0|0|123|381|458|33|00:57:27|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1635523959
10.06.2018|117.65|04:49:34|2460|0|230|2943|0||0|0|24.4|65.2|76|153|0|0|169|570|2,039|22|05:14:42|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1635526968
09.06.2018|30.42|01:15:33|764|0|262|724|0||0|0|24.2|58.7|78|142|0|0|160|527|555|26|01:16:20|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1635526958
08.06.2018|99.67|03:35:16|1768|0|253|2363|0||0|0|27.8|58|75|143|0|0|183|561|1,758|16|03:53:23|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1635527268
04.06.2018|120.08|04:11:07|1790|0|254|2880|0||0|0|28.7|66.6|80|144|0|0|191|775|3,211|23|04:37:28|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1616632206
02.06.2018|115.38|04:15:37|2163|0|255|2864|0||0|0|27.1|63.7|74|152|0|0|187|683|3,194|22|05:00:42|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1611940600
30.06.2018|219.18|05:36:19|2105|0|0|0|0||0|0|39.1|77|75|229|152|200|0|0|4,318|35|05:36:19|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1671999637
16.06.2018|154.24|03:50:30|2213|0|305|3567|0||0|0|40.2|78.1|83|244|0|0|258|940|3,145|23|03:51:02|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1642914064
15.06.2018|173.81|04:00:24|1921|0|308|3518|0||0|0|43.4|88.2|84|254|0|0|244|1013|2,837|20|04:01:25|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1640247799
14.06.2018|152.76|03:36:09|1572|0|263|2766|0||0|0|42.4|90.7|81|190|0|0|213|998|1,945|19|03:36:42|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1640254423
13.06.2018|159.22|03:34:05|605|0|241|2521|0||0|0|44.6|81|82|183|0|0|196|979|1,612|21|03:34:42|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1641340194
04.07.2018|28.57|01:27:53|970|0|0|0|0||0|0|19.5|68|70|114|130|173|0|0|887|23|01:33:28|Wahoo ELEMNT BOLT|https://www.strava.com/activities/1679941299
31.10.2019|78.1|02:48:24|1251|0|237|2001|0||0|0|27.8|57.2|78|114|0|0|198|608|2,046|13|10.10:58:28|Garmin Edge 530|https://www.strava.com/activities/2862268002
30.10.2019|156.94|05:14:04|1654|0|217|1541|0||0|0|30|76.3|72|116|0|0|82|610|5,282|11|06:17:07|Garmin Edge 530|https://www.strava.com/activities/2862267327
29.10.2019|77.34|02:06:33|182|0|212|1479|0||0|0|36.7|45.4|84|194|0|0|195|494|1,478|13|02:34:39|Garmin Edge 530|https://www.strava.com/activities/2862266335
22.10.2019|13.4|01:10:32|236|0|0|0|0||0|0|11.4|33.5|0|0|0|0|0|0|772|26|01:10:50|Garmin Edge 530|https://www.strava.com/activities/2862265528
21.10.2019|11.27|01:06:18|483|0|0|0|0||0|0|10.2|24.1|0|0|0|0|0|0|1,031|23|01:06:18|Garmin Edge 530|https://www.strava.com/activities/2862265358
20.10.2019|51.47|01:53:46|555|0|0|0|0||0|0|27.1|56.5|0|0|0|0|0|0|980|21|1.00:02:47|Garmin Edge 530|https://www.strava.com/activities/2862265281
16.10.2019|113.49|04:05:48|2072|0|248|2367|0||0|0|27.7|73.4|73|117|0|0|161|785|3,017|20|3.05:40:06|Garmin Edge 530|https://www.strava.com/activities/2802585108
29.11.2019|138.44|04:36:50|1011|0|234|3340|0||0|0|30|55.1|80|115|0|0|201|543|3,724|15|05:06:23|Garmin Edge 530|https://www.strava.com/activities/2910734851
28.11.2019|101.7|03:55:03|1574|0|216|2499|0||0|0|26|53.6|77|113|0|0|177|746|2,787|14|05:35:46|Garmin Edge 530|https://www.strava.com/activities/2910733660
27.11.2019|42.82|01:46:40|1185|0|270|1347|0||0|0|24.1|64.1|82|121|0|0|210|503|1,344|12|01:47:16|Garmin Edge 530|https://www.strava.com/activities/2910732672
26.11.2019|80.05|03:08:25|1470|0|232|2126|0||0|0|25.5|81.7|78|113|0|0|188|545|2,140|14|1.03:24:46|Garmin Edge 530|https://www.strava.com/activities/2910732280
25.11.2019|75.65|03:13:15|1976|0|246|2215|0||0|0|23.5|158.4|79|142|0|0|191|518|2,248|12|03:23:07|Garmin Edge 530|https://www.strava.com/activities/2910731410
21.11.2019|97.61|03:29:59|993|0|247|2527|0||0|0|27.9|65.2|79|121|0|0|201|663|2,531|10|03:37:23|Garmin Edge 530|https://www.strava.com/activities/2910730324
20.11.2019|72.15|02:54:34|1608|0|239|1912|0||0|0|24.8|61.2|81|118|0|0|183|745|1,925|11|03:01:22|Garmin Edge 530|https://www.strava.com/activities/2910727802
18.11.2019|96.83|03:32:35|1736|0|253|2528|0||0|0|27.3|175.3|81|149|0|0|198|525|2,556|8|03:38:06|Garmin Edge 530|https://www.strava.com/activities/2910727131
14.11.2019|67.51|02:29:27|1281|0|248|1782|0||0|0|27.1|53.3|79|112|0|0|199|489|1,786|10|02:31:42|Garmin Edge 530|https://www.strava.com/activities/2910726157
13.11.2019|124.56|04:17:54|1390|0|244|3186|0||0|0|29|52.9|79|115|0|0|206|546|3,190|16|04:33:04|Garmin Edge 530|https://www.strava.com/activities/2862270907
12.11.2019|95.34|03:26:58|1586|0|257|2581|0||0|0|27.6|59|76|122|0|0|208|561|2,592|16|04:11:34|Garmin Edge 530|https://www.strava.com/activities/2862269623
11.11.2019|72.76|02:37:30|743|0|229|1845|0||0|0|27.7|52.6|79|116|0|0|195|627|1,849|13|02:43:00|Garmin Edge 530|https://www.strava.com/activities/2862268707
22.12.2019|158.84|06:05:42|3717|0|0|0|0||0|0|26.1|73.8|0|0|0|0|0|0|7,314|12|07:03:16|Garmin Edge 530|https://www.strava.com/activities/3228439906
10.12.2019|38.98|01:05:29|7|0|293|981|0||0|0|35.7|45.4|87|98|0|0|250|456|1,251|19|01:18:15|Garmin Edge 530|https://www.strava.com/activities/3228437194
10.12.2019|0|00:00:00|0|0|8|0|0||0|0|5.6|2.5|93|95|0|0|117|134|0|18|00:00:17|Garmin Edge 530|https://www.strava.com/activities/3228436231
10.12.2019|898.56|02:07:06|1142|0|233|1528|0||0|0|424.2|68|79|111|0|0|200|467|1,535|15|02:22:54|Garmin Edge 530|https://www.strava.com/activities/3228436471
08.12.2019|128.28|04:21:56|1596|0|269|3546|0||0|0|29.4|55.4|78|112|0|0|226|603|3,571|14|05:24:20|Garmin Edge 530|https://www.strava.com/activities/3228435727
