iter	Passed	Remaining
0	9	932
1	15	776
2	23	762
3	33	799
4	41	796
5	48	762
6	54	728
7	62	718
8	71	722
9	80	722
10	88	718
11	102	752
12	125	838
13	143	882
14	152	866
15	161	846
16	168	823
17	176	802
18	187	797
19	197	791
20	212	798
21	223	793
22	230	771
23	241	764
24	258	775
25	272	775
26	278	754
27	287	740
28	294	721
29	301	702
30	307	683
31	314	667
32	325	660
33	336	653
34	346	644
35	354	630
36	362	617
37	368	601
38	374	586
39	381	571
40	389	560
41	399	551
42	407	540
43	415	528
44	421	514
45	428	503
46	437	493
47	445	483
48	455	473
49	463	463
50	475	457
51	485	448
52	493	437
53	501	427
54	510	417
55	516	405
56	523	395
57	533	386
58	542	377
59	548	365
60	562	359
61	569	349
62	577	339
63	585	329
64	593	319
65	605	312
66	620	305
67	628	295
68	636	285
69	643	275
70	649	265
71	656	255
72	664	245
73	670	235
74	677	225
75	695	219
76	703	210
77	713	201
78	719	191
79	726	181
80	732	171
81	740	162
82	747	153
83	754	143
84	763	134
85	776	126
86	782	116
87	790	107
88	798	98
89	805	89
90	814	80
91	820	71
92	827	62
93	834	53
94	844	44
95	850	35
96	858	26
97	869	17
98	883	8
99	891	0
