iter	R2	RMSE
0	-5.129956583	0.2433589427
1	-4.592804596	0.2324520784
2	-4.107704245	0.2221424113
3	-3.670892278	0.2124313145
4	-3.270579232	0.2031243565
5	-2.909601256	0.1943501336
6	-2.583348498	0.1860643347
7	-2.290167221	0.178290251
8	-2.020507865	0.170827819
9	-1.781331555	0.1639249244
10	-1.555274451	0.1571221405
11	-1.355822219	0.150865476
12	-1.17326792	0.1449022888
13	-1.010664032	0.1393761183
14	-0.8621293035	0.1341292598
15	-0.7257817513	0.1291253604
16	-0.5998147362	0.1243235656
17	-0.4837320488	0.1197281714
18	-0.3827741651	0.1155830736
19	-0.2861483484	0.1114715764
20	-0.1996522481	0.1076579973
21	-0.1232992617	0.1041756808
22	-0.0537935388	0.1009012105
23	0.009464821326	0.0978258348
24	0.06767963644	0.09490764468
25	0.120425136	0.0921838868
26	0.1683937399	0.08963497168
27	0.2136290843	0.0871630326
28	0.2540371807	0.08489403997
29	0.2891453523	0.08287222788
30	0.32336181	0.08085313495
31	0.3544330925	0.07897492835
32	0.3820803125	0.07726532343
33	0.409873939	0.07550765933
34	0.4338907297	0.07395520479
35	0.4549440617	0.07256699652
36	0.4748121193	0.07123213452
37	0.4929120574	0.06999390967
38	0.5092180526	0.06885934708
39	0.5243694407	0.0677881038
40	0.5383679919	0.0667830989
41	0.5504663359	0.06590217086
42	0.5621678953	0.06503878394
43	0.5736370185	0.06418127729
44	0.5855575376	0.06327770702
45	0.5958555828	0.06248660115
46	0.606160937	0.06168477791
47	0.6143405021	0.06104085756
48	0.6212877988	0.06048856188
49	0.6289651216	0.0598723051
50	0.6366522409	0.05924884024
51	0.6440748892	0.05864053516
52	0.6505060421	0.05810833701
53	0.6565934112	0.05760005822
54	0.6614336448	0.05719268817
55	0.6663437615	0.05677645013
56	0.6713147833	0.05635191721
57	0.6760249566	0.05594668893
58	0.6798289605	0.05561726566
59	0.6835607353	0.05529219029
60	0.6874712887	0.05494947801
61	0.6915010845	0.05459406487
62	0.6952520815	0.05426114884
63	0.6986067273	0.05396167076
64	0.7023563474	0.05362495285
65	0.7053602401	0.05335366857
66	0.7089816555	0.05302477002
67	0.7118534066	0.05276249881
68	0.7148770289	0.05248494115
69	0.7171780192	0.05227273099
70	0.7191476249	0.05209039625
71	0.7218748376	0.05183686778
72	0.7237329269	0.0516634226
73	0.7269451186	0.05136219591
74	0.7291973873	0.05114992905
75	0.7317186881	0.05091125717
76	0.7336824233	0.05072458771
77	0.7361797779	0.05048619628
78	0.7386575153	0.05024855978
79	0.7402293083	0.05009722685
80	0.7420476953	0.04992157939
81	0.7441881031	0.0497140311
82	0.7465248744	0.04948644818
83	0.7484499836	0.04929816859
84	0.7501748362	0.04912886161
85	0.751823518	0.04896648419
86	0.7532087845	0.04882963288
87	0.7545102959	0.04870070541
88	0.7562100003	0.0485318173
89	0.7579853102	0.04835478698
90	0.7589647133	0.04825684491
91	0.7603872029	0.04811423833
92	0.7616008847	0.04799223001
93	0.7637413245	0.0477762978
94	0.7651463636	0.04763402225
95	0.7661941417	0.04752764604
96	0.7669319369	0.04745259793
97	0.7683527813	0.04730773504
98	0.7703393791	0.04710444356
99	0.7721556486	0.04691781125
